,Shannon,Simpson,goods_Coverage
P03_210705_17,5.24047037545296,0.946159803485679,1
P03_210705_21,5.28651260896303,0.947340981515344,1
P03_210706_09,5.9111456936743,0.970050245600577,1
P03_210706_13,5.22335397131156,0.937256661271,1
P03_210706_17,5.2434022748449,0.943944156247568,1
P03_210706_21,4.99551785711455,0.924443429948966,1
P03_210707_09,5.74465796747089,0.963257974161916,1
P03_210707_13,5.356060231391,0.951538570516386,1
P05_210705_17,4.65509515007276,0.917538951866337,1
P05_210705_21,4.06904562371383,0.882743471258029,1
P05_210706_09,4.40736970899902,0.909230721363458,1
P05_210706_13,3.32055885070467,0.754640117352364,1
P05_210706_17,4.10431939824453,0.874325959695015,1
P05_210706_21,4.45590363175489,0.903948829722862,1
P05_210707_09,4.9970794118187,0.93887209138206,1
P05_210707_13,4.53225893183837,0.884514668691609,1
P07_210705_17,3.93215664491382,0.826302702855598,1
P07_210705_21,4.27596301903171,0.840522884120892,1
P07_210706_09,6.0802942843693,0.974225996994893,1
P07_210706_13,5.51369596161355,0.943375863950903,1
P07_210706_17,5.21544783591362,0.940453657041911,1
P07_210706_21,3.93863806557814,0.830094495987515,1
P07_210707_09,5.74723718905329,0.960143717460862,1
P07_210707_13,5.42700091303345,0.945559940547971,1
P08_210705_17,4.38552741062428,0.883485844575801,1
P08_210705_21,4.35210668892475,0.887903307000081,1
P08_210706_09,5.0741797770354,0.928619129970873,1
P08_210706_13,5.35411446862272,0.94405611421578,1
P08_210706_17,4.64260641932849,0.911857508906693,1
P08_210706_21,4.66259558847228,0.916780453163082,1
P08_210707_09,5.43556825182128,0.954196910584031,1
P08_210707_13,4.96042881189001,0.925423229012328,1
P09_210705_17,4.82326055404813,0.909269688419943,1
P09_210705_21,4.91291077050028,0.920263762306322,1
P09_210706_09,5.12552044929262,0.9349790517055,1
P09_210706_13,5.29281269927538,0.954932846148795,1
P09_210706_17,5.06085823680191,0.932030773187538,1
P09_210706_21,4.87118810958207,0.906165706601608,1
P09_210707_09,4.92401149834792,0.923309348173072,1
P09_210707_13,5.21634939759205,0.943182206129172,1
P11_210705_17,4.62641844975597,0.902556712982449,1
P11_210705_21,4.93773411108737,0.922548241921019,1
P11_210706_09,5.03145074482936,0.935947421324304,1
