P,TPR,FPR,cutoff
0.13,0.889785541,0.109009167,0.780776374
0.12,0.877183285,0.097623635,0.77955965
0.14,0.899292505,0.1199276,0.779364905
0.15,0.905483086,0.13265604,0.772827046
0.11,0.858058811,0.087697787,0.770361023
0.16,0.911231484,0.146085129,0.765146355
0.09,0.821910237,0.06807964,0.753830596
0.1,0.831748839,0.077947101,0.753801738
0.08,0.813066549,0.060022187,0.753044362
0.17,0.915321689,0.162550359,0.75277133
0.07,0.803891223,0.051731185,0.752160038
0.06,0.790957329,0.04414083,0.746816499
0.05,0.777581251,0.037543061,0.740038191
0.18,0.920075171,0.183803351,0.73627182
0.19,0.924497015,0.214223156,0.710273859
0.04,0.716117621,0.03141239,0.684705231
0.03,0.693013487,0.024289134,0.668724353
0.2,0.927923944,0.271501139,0.656422806
0.02,0.662723856,0.01757459,0.645149266
0.01,0.603802786,0.009692299,0.594110487
0.21,0.930466505,0.382845799,0.547620706
0.22,0.933672341,0.42015531,0.513517031
0.23,0.937430909,0.448356396,0.489074512
0.24,0.940305107,0.470952298,0.46935281
0.25,0.942847667,0.48957786,0.453269808
0.26,0.945058589,0.507152449,0.43790614
0.27,0.950254256,0.524435102,0.425819154
0.28,0.952244086,0.541484206,0.41075988
0.29,0.954123369,0.557482338,0.396641032
0.3,0.955671015,0.57499854,0.380672474
0.31,0.957881937,0.594207976,0.363673961
0.32,0.95920849,0.613125474,0.346083016
0.33,0.961308866,0.634670403,0.326638462
0.34,0.962414327,0.66462311,0.297791217
0.35,0.96374088,0.713493315,0.250247565
0.36,0.964735795,0.747883459,0.216852336
0.37,0.965620164,0.772114206,0.193505958
0.38,0.966836171,0.787294914,0.179541256
0.39,0.969268185,0.799614644,0.169653541
0.4,0.9702631,0.81199276,0.15827034
0.41,0.971700199,0.821509897,0.150190302
0.42,0.972695114,0.830209611,0.142485503
0.43,0.974132213,0.839142874,0.134989339
0.44,0.975016582,0.846090967,0.128925614
0.45,0.976232589,0.853681322,0.122551267
0.46,0.977448596,0.859987155,0.117461441
0.47,0.978332965,0.866701699,0.111631266
0.48,0.97932788,0.872715595,0.106612284
0.49,0.980543887,0.878729491,0.101814395
0.5,0.980764979,0.883050155,0.097714824
0.51,0.982312624,0.8892976,0.093015024
0.52,0.982975901,0.894085362,0.088890539
0.53,0.984081362,0.899106674,0.084974688
0.54,0.984744639,0.906054767,0.078689871
0.55,0.98640283,0.910083494,0.076319336
0.56,0.987287199,0.914754481,0.072532718
0.57,0.988282114,0.918432884,0.06984923
0.58,0.988613752,0.923279033,0.065334719
0.59,0.989277029,0.926957436,0.062319593
0.6,0.989719213,0.931453261,0.058265952
0.61,0.990603582,0.934664565,0.055939017
0.62,0.991156312,0.937992643,0.053163669
0.63,0.991598497,0.940970398,0.050628099
0.64,0.992372319,0.944240089,0.048132231
0.65,0.993035596,0.946867519,0.046168077
0.66,0.993809419,0.950662696,0.043146722
0.67,0.994362149,0.953932387,0.040429762
0.68,0.994804333,0.957143691,0.037660642
0.69,0.995246518,0.960004671,0.035241847
0.7,0.995578156,0.962456939,0.033121217
0.71,0.995799248,0.96485082,0.030948428
0.72,0.996241433,0.967361476,0.028879957
0.73,0.996462525,0.969930519,0.026532006
0.74,0.996794163,0.972032463,0.0247617
0.75,0.997125801,0.97407602,0.023049781
0.76,0.99745744,0.976294739,0.0211627
0.77,0.997678532,0.979038944,0.018639588
0.78,0.997789078,0.9815496,0.016239478
0.79,0.99801017,0.984936066,0.013074104
0.8,0.998120716,0.986746073,0.011374643
0.81,0.998231262,0.989139954,0.009091308
0.82,0.998452355,0.990599638,0.007852717
0.83,0.998673447,0.991592223,0.007081224
0.84,0.998783993,0.992818357,0.005965636
0.85,0.998783993,0.993460618,0.005323375
0.86,0.999115631,0.994278041,0.004837591
0.87,0.999115631,0.995504175,0.003611457
0.88,0.999115631,0.995912886,0.003202745
0.89,0.999336723,0.996613534,0.002723189
0.9,0.999336723,0.997255795,0.002080928
0.91,0.999336723,0.997898056,0.001438668
0.92,0.999557816,0.998481929,0.001075886
0.93,0.999557816,0.998832253,0.000725562
0.94,0.999668362,0.999182577,0.000485784
0.95,0.999668362,0.999474514,0.000193848
0.96,0.999668362,0.999532901,0.00013546
0.97,0.999778908,0.999649676,0.000129232
0.98,0.999778908,0.999766451,1.25E-05
0,0,0,0
0.99,1,1,0
1,1,1,0
