taxa,number,rhythem_number,ratio
Mogibacterium.diversum,22,18,0.818181818
X.Eubacterium..sulci,22,18,0.818181818
Prevotella.fusca,21,17,0.80952381
Prevotella.jejuni,22,17,0.772727273
Microviridae.sp.,13,10,0.769230769
Actinomyces.pacaensis,22,16,0.727272727
Gemella.haemolysans,22,16,0.727272727
Prevotella.histicola,22,16,0.727272727
Prevotella.melaninogenica,22,16,0.727272727
Prevotella.sp..oral.taxon.299,22,16,0.727272727
Prevotella.veroralis,22,16,0.727272727
Veillonella.dispar,22,16,0.727272727
uncultured.phage,7,5,0.714285714
Prevotella.multiformis,19,13,0.684210526
Lancefieldella.parvula,22,15,0.681818182
Prevotella.scopos,22,15,0.681818182
Veillonella.nakazawae,22,15,0.681818182
Veillonella.parvula,22,15,0.681818182
Actinomyces.naeslundii,22,14,0.636363636
Arachnia.propionica,22,14,0.636363636
Gemella.sanguinis,22,14,0.636363636
Streptococcus.vestibularis,22,14,0.636363636
Veillonella.atypica,22,14,0.636363636
Veillonella.rodentium,22,14,0.636363636
Mycoplasma.hominis,5,3,0.6
Actinomyces.viscosus,22,13,0.590909091
bacterium,22,13,0.590909091
Mogibacterium.pumilum,22,13,0.590909091
Pauljensenia.hongkongensis,22,13,0.590909091
Porphyromonas.sp..oral.taxon.275,22,13,0.590909091
Prevotella.denticola,22,13,0.590909091
Prevotella.oris,22,13,0.590909091
Streptococcus.mitis,22,13,0.590909091
Streptococcus.sp..116.D4,22,13,0.590909091
Streptococcus.sp..I.P16,22,13,0.590909091
Streptococcus.sp..LPB0220,22,13,0.590909091
Streptococcus.sp..VT.162,22,13,0.590909091
Rothia.nasimurium,7,4,0.571428571
TM7.phylum.sp..oral.taxon.952,21,12,0.571428571
Actinomyces.sp..oral.taxon.169,22,12,0.545454545
Candidatus.Saccharibacteria.bacterium.oral.taxon.488,22,12,0.545454545
Inoviridae.sp.,22,12,0.545454545
Leptotrichia.sp..oral.taxon.212,22,12,0.545454545
Myoviridae.sp.,22,12,0.545454545
Neisseria.elongata,22,12,0.545454545
Podoviridae.sp.,22,12,0.545454545
Prevotella.intermedia,22,12,0.545454545
Siphoviridae.sp.,22,12,0.545454545
Streptococcus.gwangjuense,22,12,0.545454545
Streptococcus.infantis,22,12,0.545454545
Streptococcus.koreensis,22,12,0.545454545
Streptococcus.lactarius,22,12,0.545454545
Streptococcus.oralis,22,12,0.545454545
Streptococcus.parasanguinis,22,12,0.545454545
Streptococcus.pseudopneumoniae,22,12,0.545454545
Streptococcus.sp..1643,22,12,0.545454545
Streptococcus.sp..FDAARGOS_192,22,12,0.545454545
Streptococcus.sp..I.G2,22,12,0.545454545
Streptococcus.sp..NPS.308,22,12,0.545454545
Streptococcus.sp..oral.taxon.061,22,12,0.545454545
Streptococcus.sp..ZB199,22,12,0.545454545
Streptococcus.suis,22,12,0.545454545
Cardiobacterium.hominis,21,11,0.523809524
Tannerella.sp..oral.taxon.HOT.286,21,11,0.523809524
Actinomyces.sp..Chiba101,18,9,0.5
Actinomyces.sp..oral.taxon.414,22,11,0.5
Actinomyces.sp..oral.taxon.848,22,11,0.5
Bacteriophage.sp.,22,11,0.5
Bacteroides.heparinolyticus,10,5,0.5
Corynebacterium.matruchotii,22,11,0.5
Granulicatella.adiacens,22,11,0.5
Haemophilus.sp..oral.taxon.036,20,10,0.5
Lachnoanaerobaculum.umeaense,22,11,0.5
Leptotrichia.sp..oral.taxon.221,16,8,0.5
Leptotrichia.wadei,22,11,0.5
Neisseria.flavescens,22,11,0.5
Neisseria.meningitidis,20,10,0.5
Schaalia.odontolytica,22,11,0.5
Streptococcus.cristatus,22,11,0.5
Streptococcus.gordonii,22,11,0.5
Streptococcus.pneumoniae,22,11,0.5
Streptococcus.sp..A12,22,11,0.5
Streptococcus.sp..oral.taxon.064,22,11,0.5
Streptococcus.sp..oral.taxon.431,22,11,0.5
Treponema.brennaborense,10,5,0.5
Prevotella.sp..oral.taxon.475,21,10,0.476190476
Streptococcus.agalactiae,21,10,0.476190476
Peptostreptococcus.anaerobius,19,9,0.473684211
Prevotella.dentalis,15,7,0.466666667
Actinomyces.oris,22,10,0.454545455
Actinomyces.sp..oral.taxon.171,22,10,0.454545455
Actinomyces.sp..oral.taxon.897,22,10,0.454545455
Aggregatibacter.aphrophilus,22,10,0.454545455
Capnocytophaga.gingivalis,22,10,0.454545455
Caudovirales.sp.,22,10,0.454545455
Haemophilus.haemolyticus,22,10,0.454545455
Haemophilus.influenzae,22,10,0.454545455
Haemophilus.parainfluenzae,22,10,0.454545455
Neisseria.mucosa,22,10,0.454545455
Neisseria.sicca,22,10,0.454545455
Neisseria.subflava,22,10,0.454545455
Olsenella.sp..oral.taxon.807,22,10,0.454545455
Porphyromonas.endodontalis,11,5,0.454545455
Porphyromonas.gingivalis,22,10,0.454545455
Prevotella.nigrescens,22,10,0.454545455
Rothia.aeria,22,10,0.454545455
Schaalia.meyeri,22,10,0.454545455
Streptococcus.australis,22,10,0.454545455
Streptococcus.mutans,22,10,0.454545455
Streptococcus.sanguinis,22,10,0.454545455
Actinomyces.howellii,20,9,0.45
Capnocytophaga.endodontalis,20,9,0.45
Haemophilus.parahaemolyticus,20,9,0.45
Prevotella.enoeca,20,9,0.45
