species,rhythmic_p,mesor,amplitude,phase_radians,peak_time_hours,people
Haemophilus.parainfluenzae,0.06393769,0.128236502,0.133686979,1.438595165,5.495028758,P06
Actinomyces.naeslundii,0.126245886,0.075443996,0.080098636,1.389232592,5.30647762,P06
Actinomyces.pacaensis,0.009912986,0.127363572,0.164261293,1.368603849,5.227681624,P06
Actinomyces.sp..oral.taxon.414,0.065631051,0.024459362,0.024394583,1.046274103,3.996472687,P06
Schaalia.meyeri,0.011842719,0.070618252,0.085298716,1.351922485,5.163963506,P06
Schaalia.odontolytica,0.010402689,1.840054573,2.284705441,1.357075597,5.183646945,P06
Rothia.dentocariosa,0.099622381,0.339945683,0.435086079,1.37255868,5.242787968,P06
Rothia.mucilaginosa,0.178304101,0.571712973,0.48612564,1.446813554,5.526420691,P06
Gemella.morbillorum,0.366302324,0.030346559,0.018404295,0.128546271,0.491010587,P06
Streptococcus.cristatus,0.034298186,0.007904919,0.00851713,1.385670849,5.292872763,P06
Streptococcus.gordonii,0.029722555,0.018801499,0.021234942,1.390058935,5.309634015,P06
Streptococcus.mitis,0.199940449,0.451032931,0.433226529,1.382375329,5.280284805,P06
Streptococcus.oralis,0.047765423,0.201359902,0.225507143,1.391102098,5.313618605,P06
Streptococcus.salivarius,0.02340904,0.606187055,0.685384193,1.377546945,5.261841735,P06
Veillonella.nakazawae,0.022188309,0.102806174,0.130107104,1.381496256,5.276926991,P06
Veillonella.atypica,0.017808209,0.608751347,0.767469111,1.355623879,5.178101791,P06
Veillonella.parvula,0.01557043,0.064049784,0.079663575,1.384879606,5.289850435,P06
Myoviridae.sp.,0.239124722,0.053893878,0.034719277,1.388853512,5.305029638,P06
Siphoviridae.sp.,0.026169891,0.200441175,0.218965347,1.3948743,5.328027357,P06
Prevotella.melaninogenica,0.009658239,0.406932291,0.539046772,1.397603278,5.338451285,P06
Gemella.haemolysans,0.848093402,0.066868588,0.011754138,2.657661958,10.15152091,P06
Streptococcus.pneumoniae,0.165042779,0.072026685,0.072597613,1.378209866,5.264373908,P06
Streptococcus.thermophilus,0.148491796,0.014774752,0.01380676,1.373886728,5.247860735,P06
