sample,taxa,empP,circa_p,people,sum,number_exist,p,group,cluster
Actinomyces.sp..Chiba101_P19,Actinomyces.sp..Chiba101,0.060939061,0.110369805,P19,0.001152266,8,0.060939061,rhythem,cluster1
Actinomyces.sp..Chiba101_P21,Actinomyces.sp..Chiba101,0.350649351,0.092820119,P21,0.004345333,5,0.092820119,rhythem,cluster1
Actinomyces.sp..Chiba101_P24,Actinomyces.sp..Chiba101,0.216783217,0.027388358,P24,0.002627828,8,0.027388358,rhythem,cluster1
Actinomyces.sp..Chiba101_P26,Actinomyces.sp..Chiba101,0.060939061,0.003263719,P26,0.016483195,8,0.003263719,rhythem,cluster1
Actinomyces.sp..oral.taxon.897_P06,Actinomyces.sp..oral.taxon.897,0.137862138,0.025609304,P06,0.022663815,6,0.025609304,rhythem,cluster1
Actinomyces.sp..oral.taxon.897_P16,Actinomyces.sp..oral.taxon.897,0.060939061,0.131477261,P16,0.006287924,7,0.060939061,rhythem,cluster1
Actinomyces.sp..oral.taxon.897_P19,Actinomyces.sp..oral.taxon.897,0.137862138,0.144666139,P19,0.003594447,8,0.137862138,rhythem,cluster1
Actinomyces.sp..oral.taxon.897_P20,Actinomyces.sp..oral.taxon.897,0.068931069,0.002772934,P20,0.007432732,6,0.002772934,rhythem,cluster1
Actinomyces.sp..oral.taxon.897_P21,Actinomyces.sp..oral.taxon.897,0.216783217,0.058845517,P21,0.014576533,7,0.058845517,rhythem,cluster1
Actinomyces.sp..oral.taxon.897_P24,Actinomyces.sp..oral.taxon.897,0.060939061,0.05216926,P24,0.008078731,8,0.05216926,rhythem,cluster1
Actinomyces.sp..oral.taxon.897_P26,Actinomyces.sp..oral.taxon.897,0.125069836,0.058604575,P26,0.023907214,8,0.058604575,rhythem,cluster1
Actinomyces.sp..oral.taxon.897_P27,Actinomyces.sp..oral.taxon.897,0.137862138,0.03019042,P27,0.006213349,6,0.03019042,rhythem,cluster1
Bacteroides.heparinolyticus_P17,Bacteroides.heparinolyticus,0.008991009,0.009974012,P17,0.007668712,4,0.009974012,rhythem,cluster1
Bacteroides.heparinolyticus_P23,Bacteroides.heparinolyticus,0.508491508,0.066527005,P23,0.008183318,7,0.066527005,rhythem,cluster1
Capnocytophaga.gingivalis_P17,Capnocytophaga.gingivalis,0.216783217,0.060923159,P17,0.150765254,8,0.060923159,rhythem,cluster1
Capnocytophaga.gingivalis_P19,Capnocytophaga.gingivalis,0.137862138,0.106780287,P19,0.003844778,8,0.106780287,rhythem,cluster1
Capnocytophaga.gingivalis_P20,Capnocytophaga.gingivalis,0.125069836,0.02065773,P20,0.061388085,8,0.008991009,rhythem,cluster1
Capnocytophaga.gingivalis_P21,Capnocytophaga.gingivalis,0.125069836,0.115017025,P21,0.159822864,8,0.115017025,rhythem,cluster1
Capnocytophaga.gingivalis_P23,Capnocytophaga.gingivalis,0.216783217,0.054697948,P23,0.023618748,7,0.054697948,rhythem,cluster1
Capnocytophaga.gingivalis_P24,Capnocytophaga.gingivalis,0.216783217,0.026927992,P24,0.018480321,8,0.026927992,rhythem,cluster1
Cardiobacterium.hominis_P19,Cardiobacterium.hominis,0.027972028,0.112618785,P19,0.010710853,8,0.112618785,rhythem,cluster1
Cardiobacterium.hominis_P20,Cardiobacterium.hominis,0.027972028,0.002925801,P20,0.015996963,8,0.002925801,rhythem,cluster1
Cardiobacterium.hominis_P21,Cardiobacterium.hominis,0.125069836,0.121122492,P21,0.100050435,8,0.027972028,rhythem,cluster1
Cardiobacterium.hominis_P23,Cardiobacterium.hominis,0.137862138,0.085630345,P23,0.007996491,6,0.027972028,rhythem,cluster1
Cardiobacterium.hominis_P24,Cardiobacterium.hominis,0.027972028,0.003476573,P24,0.007657131,8,0.003476573,rhythem,cluster1
Caudovirales.sp._P06,Caudovirales.sp.,0.508491508,0.045709137,P06,0.024194969,8,0.045709137,rhythem,cluster1
Caudovirales.sp._P08,Caudovirales.sp.,0.182817183,0.023183842,P08,0.00337897,7,0.023183842,rhythem,cluster1
Caudovirales.sp._P19,Caudovirales.sp.,0.068931069,0.114525122,P19,0.000410902,7,0.027972028,rhythem,cluster1
Caudovirales.sp._P21,Caudovirales.sp.,0.125069836,0.020487102,P21,0.014477028,8,0.020487102,rhythem,cluster1
Caudovirales.sp._P24,Caudovirales.sp.,0.125069836,0.060777981,P24,0.006433103,8,0.060777981,rhythem,cluster1
Caudovirales.sp._P26,Caudovirales.sp.,0.060939061,0.014415507,P26,0.017749521,8,0.014415507,rhythem,cluster1
Corynebacterium.matruchotii_P17,Corynebacterium.matruchotii,0.508491508,0.04185109,P17,0.011392418,5,0.04185109,rhythem,cluster1
Corynebacterium.matruchotii_P19,Corynebacterium.matruchotii,0.030969031,0.11235496,P19,0.001358413,8,0.11235496,rhythem,cluster1
Corynebacterium.matruchotii_P20,Corynebacterium.matruchotii,0.068931069,0.004471477,P20,0.020478135,5,0.004471477,rhythem,cluster1
Corynebacterium.matruchotii_P21,Corynebacterium.matruchotii,0.068931069,0.009645116,P21,0.005353361,6,0.009645116,rhythem,cluster1
Corynebacterium.matruchotii_P24,Corynebacterium.matruchotii,0.125069836,0.010072396,P24,0.004113782,7,0.010072396,rhythem,cluster1
Corynebacterium.matruchotii_P26,Corynebacterium.matruchotii,0.060939061,0.02221446,P26,0.027370248,7,0.02221446,rhythem,cluster1
Corynebacterium.matruchotii_P27,Corynebacterium.matruchotii,0.068931069,0.025777317,P27,0.008258554,5,0.025777317,rhythem,cluster1
Gemella.haemolysans_P14,Gemella.haemolysans,0.125069836,0.053253374,P14,0.844145013,8,0.053253374,rhythem,cluster1
Gemella.haemolysans_P19,Gemella.haemolysans,0.216783217,0.062216431,P19,0.081769149,8,0.062216431,rhythem,cluster1
Gemella.haemolysans_P25,Gemella.haemolysans,0.350649351,0.053885725,P25,0.022087668,8,0.053885725,rhythem,cluster1
Gemella.haemolysans_P27,Gemella.haemolysans,0.230769231,0.021106278,P27,0.851375493,8,0.021106278,rhythem,cluster1
Haemophilus.haemolyticus_P06,Haemophilus.haemolyticus,0.350649351,0.129429495,P06,0.051754175,5,0.129429495,rhythem,cluster1
Haemophilus.haemolyticus_P19,Haemophilus.haemolyticus,0.068931069,0.048540973,P19,0.002337289,6,0.048540973,rhythem,cluster1
Haemophilus.haemolyticus_P20,Haemophilus.haemolyticus,0.030969031,0.006948007,P20,0.013100905,6,0.006948007,rhythem,cluster1
Haemophilus.haemolyticus_P26,Haemophilus.haemolyticus,0.060939061,0.019401406,P26,0.06997405,8,0.019401406,rhythem,cluster1
Haemophilus.influenzae_P06,Haemophilus.influenzae,0.216783217,0.096565772,P06,0.046976951,4,0.096565772,rhythem,cluster1
Haemophilus.influenzae_P19,Haemophilus.influenzae,0.230769231,0.062243946,P19,0.002993304,6,0.062243946,rhythem,cluster1
Haemophilus.influenzae_P20,Haemophilus.influenzae,0.125069836,0.014331366,P20,0.030814589,8,0.014331366,rhythem,cluster1
Haemophilus.influenzae_P23,Haemophilus.influenzae,0.125069836,0.067618357,P23,0.08947266,8,0.060939061,rhythem,cluster1
Haemophilus.influenzae_P26,Haemophilus.influenzae,0.007992008,0.015838241,P26,0.080541567,8,0.015838241,rhythem,cluster1
Haemophilus.parahaemolyticus_P14,Haemophilus.parahaemolyticus,0.027972028,0.002721182,P14,0.209423283,8,0.002721182,rhythem,cluster1
Haemophilus.parahaemolyticus_P26,Haemophilus.parahaemolyticus,0.027972028,0.002873827,P26,0.105508652,8,0.002873827,rhythem,cluster1
Haemophilus.sp..oral.taxon.036_P06,Haemophilus.sp..oral.taxon.036,0.508491508,0.099386034,P06,0.24463237,8,0.099386034,rhythem,cluster1
Haemophilus.sp..oral.taxon.036_P08,Haemophilus.sp..oral.taxon.036,0.327672328,0.073426455,P08,0.005238553,4,0.073426455,rhythem,cluster1
Haemophilus.sp..oral.taxon.036_P19,Haemophilus.sp..oral.taxon.036,0.001998002,0.021666792,P19,0.008739144,8,0.021666792,rhythem,cluster1
Haemophilus.sp..oral.taxon.036_P25,Haemophilus.sp..oral.taxon.036,0.230769231,0.003047084,P25,0.002997255,4,0.003047084,rhythem,cluster1
Haemophilus.sp..oral.taxon.036_P27,Haemophilus.sp..oral.taxon.036,0.137862138,0.09888311,P27,0.010414461,4,0.027972028,rhythem,cluster1
Inoviridae.sp._P16,Inoviridae.sp.,0.508491508,0.075283552,P16,0.036771244,8,0.075283552,rhythem,cluster1
Inoviridae.sp._P18,Inoviridae.sp.,0.125069836,0.063652213,P18,0.005258932,8,0.001998002,rhythem,cluster1
Inoviridae.sp._P19,Inoviridae.sp.,0.060939061,0.117937309,P19,0.001508626,7,0.117937309,rhythem,cluster1
Inoviridae.sp._P20,Inoviridae.sp.,0.230769231,0.026715031,P20,0.011431221,7,0.026715031,rhythem,cluster1
Inoviridae.sp._P21,Inoviridae.sp.,0.060939061,0.120728252,P21,0.038482093,8,0.120728252,rhythem,cluster1
Inoviridae.sp._P24,Inoviridae.sp.,0.137862138,0.063141681,P24,0.001476952,7,0.060939061,rhythem,cluster1
Inoviridae.sp._P26,Inoviridae.sp.,0.060939061,0.04665831,P26,0.030126358,8,0.04665831,rhythem,cluster1
Lancefieldella.parvula_P06,Lancefieldella.parvula,0.125069836,0.006459062,P06,0.581709011,8,0.006459062,rhythem,cluster1
Lancefieldella.parvula_P08,Lancefieldella.parvula,0.076767858,0.003816332,P08,0.054321405,8,0.003816332,rhythem,cluster1
Lancefieldella.parvula_P15,Lancefieldella.parvula,0.125069836,0.067365944,P15,0.090619563,8,0.067365944,rhythem,cluster1
Lancefieldella.parvula_P16,Lancefieldella.parvula,0.008991009,0.15011508,P16,0.342455428,8,0.008991009,rhythem,cluster1
Lancefieldella.parvula_P17,Lancefieldella.parvula,0.350649351,0.069076411,P17,0.433522117,8,0.069076411,rhythem,cluster1
Lancefieldella.parvula_P18,Lancefieldella.parvula,0.125069836,0.141673073,P18,0.034390185,8,0.125069836,rhythem,cluster1
Lancefieldella.parvula_P19,Lancefieldella.parvula,0.125069836,0.101616378,P19,0.029893502,8,0.076767858,rhythem,cluster1
Lancefieldella.parvula_P20,Lancefieldella.parvula,0.216783217,0.007635261,P20,0.075080647,8,0.007635261,rhythem,cluster1
Lancefieldella.parvula_P21,Lancefieldella.parvula,0.125069836,0.026320679,P21,0.494204389,8,0.026320679,rhythem,cluster1
Lancefieldella.parvula_P23,Lancefieldella.parvula,0.508491508,0.025734792,P23,0.147150136,8,0.025734792,rhythem,cluster1
Lancefieldella.parvula_P24,Lancefieldella.parvula,0.216783217,0.07478171,P24,0.320468042,8,0.07478171,rhythem,cluster1
Lancefieldella.parvula_P26,Lancefieldella.parvula,0.216783217,0.021686143,P26,0.215186181,8,0.021686143,rhythem,cluster1
Lancefieldella.parvula_P27,Lancefieldella.parvula,0.230769231,0.059257394,P27,0.045055459,7,0.059257394,rhythem,cluster1
Mycoplasma.hominis_P08,Mycoplasma.hominis,0.038961039,0.004263826,P08,0.0016057,4,0.004263826,rhythem,cluster1
Neisseria.elongata_P17,Neisseria.elongata,0.216783217,0.105701052,P17,0.679877314,8,0.105701052,rhythem,cluster1
Neisseria.elongata_P18,Neisseria.elongata,0.216783217,0.063354805,P18,0.014069807,8,0.063354805,rhythem,cluster1
Neisseria.elongata_P19,Neisseria.elongata,0.027972028,0.014291488,P19,0.030174458,8,0.014291488,rhythem,cluster1
Neisseria.elongata_P20,Neisseria.elongata,0.027972028,0.009858108,P20,0.310395961,8,0.009858108,rhythem,cluster1
Neisseria.elongata_P21,Neisseria.elongata,0.060939061,0.10318018,P21,0.473677915,8,0.10318018,rhythem,cluster1
Neisseria.elongata_P24,Neisseria.elongata,0.230769231,0.091238959,P24,0.028637273,7,0.091238959,rhythem,cluster1
Neisseria.elongata_P26,Neisseria.elongata,0.125069836,0.020028581,P26,0.437998579,8,0.020028581,rhythem,cluster1
Neisseria.meningitidis_P16,Neisseria.meningitidis,0.350649351,0.024333237,P16,0.182066733,8,0.024333237,rhythem,cluster1
Neisseria.meningitidis_P18,Neisseria.meningitidis,0.030969031,0.017607009,P18,0.05870786,5,0.017607009,rhythem,cluster1
Neisseria.meningitidis_P19,Neisseria.meningitidis,0.060939061,0.015792566,P19,0.007687927,7,0.015792566,rhythem,cluster1
Neisseria.meningitidis_P20,Neisseria.meningitidis,0.216783217,0.023256402,P20,0.298610109,8,0.023256402,rhythem,cluster1
Neisseria.meningitidis_P21,Neisseria.meningitidis,0.125069836,0.066863454,P21,0.681453644,8,0.060939061,rhythem,cluster1
Neisseria.meningitidis_P26,Neisseria.meningitidis,0.060939061,0.078105711,P26,0.453181291,8,0.078105711,rhythem,cluster1
Neisseria.mucosa_P06,Neisseria.mucosa,0.37962038,0.074305493,P06,0.475332772,6,0.074305493,rhythem,cluster1
Neisseria.mucosa_P16,Neisseria.mucosa,0.350649351,0.024388461,P16,1.712437217,8,0.024388461,rhythem,cluster1
Neisseria.mucosa_P18,Neisseria.mucosa,0.125069836,0.082079757,P18,0.277824408,8,0.030969031,rhythem,cluster1
Neisseria.mucosa_P19,Neisseria.mucosa,0.027972028,0.030078592,P19,0.031862699,8,0.030078592,rhythem,cluster1
Neisseria.mucosa_P20,Neisseria.mucosa,0.060939061,0.013790963,P20,2.67174815,8,0.013790963,rhythem,cluster1
Neisseria.mucosa_P21,Neisseria.mucosa,0.125069836,0.032207172,P21,2.211898972,8,0.032207172,rhythem,cluster1
Neisseria.mucosa_P26,Neisseria.mucosa,0.125069836,0.031035516,P26,1.62257414,8,0.031035516,rhythem,cluster1
Olsenella.sp..oral.taxon.807_P06,Olsenella.sp..oral.taxon.807,0.060939061,0.034332393,P06,0.027684634,7,0.027972028,rhythem,cluster1
Olsenella.sp..oral.taxon.807_P16,Olsenella.sp..oral.taxon.807,0.027972028,0.051999554,P16,0.002782923,6,0.051999554,rhythem,cluster1
Olsenella.sp..oral.taxon.807_P17,Olsenella.sp..oral.taxon.807,0.125069836,0.070859402,P17,0.016516755,8,0.070859402,rhythem,cluster1
Olsenella.sp..oral.taxon.807_P19,Olsenella.sp..oral.taxon.807,0.008991009,0.105091124,P19,0.005406197,8,0.105091124,rhythem,cluster1
Olsenella.sp..oral.taxon.807_P20,Olsenella.sp..oral.taxon.807,0.060939061,0.016948307,P20,0.047319497,8,0.016948307,rhythem,cluster1
Olsenella.sp..oral.taxon.807_P21,Olsenella.sp..oral.taxon.807,0.37962038,0.040399973,P21,0.030594378,8,0.040399973,rhythem,cluster1
Olsenella.sp..oral.taxon.807_P23,Olsenella.sp..oral.taxon.807,0.350649351,0.021824062,P23,0.021676684,8,0.021824062,rhythem,cluster1
Olsenella.sp..oral.taxon.807_P24,Olsenella.sp..oral.taxon.807,0.027972028,0.046872701,P24,0.187339066,8,0.027972028,rhythem,cluster1
Olsenella.sp..oral.taxon.807_P27,Olsenella.sp..oral.taxon.807,0.008991009,0.013967387,P27,0.00432865,4,0.013967387,rhythem,cluster1
Peptostreptococcus.anaerobius_P26,Peptostreptococcus.anaerobius,0.125069836,0.013879503,P26,0.011128733,7,0.008991009,rhythem,cluster1
Porphyromonas.endodontalis_P11,Porphyromonas.endodontalis,0.034965035,0.131641713,P11,0.000571185,4,0.034965035,rhythem,cluster1
Porphyromonas.endodontalis_P17,Porphyromonas.endodontalis,0.008991009,0.00056075,P17,0.007750155,4,0.00056075,rhythem,cluster1
Porphyromonas.endodontalis_P21,Porphyromonas.endodontalis,0.524475524,0.056657425,P21,0.018640297,7,0.056657425,rhythem,cluster1
Porphyromonas.gingivalis_P19,Porphyromonas.gingivalis,0.027972028,0.086823312,P19,0.004650138,8,0.027972028,rhythem,cluster1
Porphyromonas.gingivalis_P21,Porphyromonas.gingivalis,0.350649351,0.037699449,P21,0.030326143,8,0.037699449,rhythem,cluster1
Porphyromonas.gingivalis_P26,Porphyromonas.gingivalis,0.068931069,0.030501764,P26,0.012234272,6,0.008991009,rhythem,cluster1
Porphyromonas.gingivalis_P27,Porphyromonas.gingivalis,0.137862138,0.05359299,P27,0.018364001,5,0.05359299,rhythem,cluster1
Prevotella.dentalis_P17,Prevotella.dentalis,0.230769231,0.11328512,P17,0.011854491,6,0.11328512,rhythem,cluster1
Prevotella.dentalis_P21,Prevotella.dentalis,0.508491508,0.033550758,P21,0.010953585,7,0.033550758,rhythem,cluster1
Prevotella.denticola_P06,Prevotella.denticola,0.230769231,0.017905563,P06,0.03002515,6,0.017905563,rhythem,cluster1
Prevotella.denticola_P08,Prevotella.denticola,0.014985015,0.006089263,P08,0.004262517,5,0.006089263,rhythem,cluster1
Prevotella.denticola_P09,Prevotella.denticola,0.038961039,0.018762741,P09,0.001020422,6,0.008991009,rhythem,cluster1
Prevotella.denticola_P15,Prevotella.denticola,0.137862138,0.225489018,P15,0.004315263,5,0.137862138,rhythem,cluster1
Prevotella.denticola_P16,Prevotella.denticola,0.030969031,0.121820128,P16,0.01299159,6,0.027972028,rhythem,cluster1
Prevotella.denticola_P19,Prevotella.denticola,0.060939061,0.171445064,P19,0.007836425,8,0.060939061,rhythem,cluster1
Prevotella.denticola_P21,Prevotella.denticola,0.350649351,0.018466867,P21,0.03835982,8,0.018466867,rhythem,cluster1
Prevotella.denticola_P22,Prevotella.denticola,0.508491508,0.080149321,P22,0.002031522,7,0.080149321,rhythem,cluster1
Prevotella.denticola_P24,Prevotella.denticola,0.216783217,0.064130482,P24,0.020045943,7,0.064130482,rhythem,cluster1
Prevotella.denticola_P26,Prevotella.denticola,0.216783217,0.043114364,P26,0.055022496,8,0.043114364,rhythem,cluster1
Prevotella.fusca_P17,Prevotella.fusca,0.068931069,0.032974474,P17,0.009902429,4,0.032974474,rhythem,cluster1
Prevotella.fusca_P21,Prevotella.fusca,0.524475524,0.026384381,P21,0.02255005,8,0.026384381,rhythem,cluster1
Prevotella.fusca_P22,Prevotella.fusca,0.350649351,0.056853217,P22,0.000672223,5,0.056853217,rhythem,cluster1
Prevotella.fusca_P23,Prevotella.fusca,0.125069836,0.00186688,P23,0.051899054,8,0.00186688,rhythem,cluster1
Prevotella.fusca_P24,Prevotella.fusca,0.060939061,0.037512802,P24,0.003925392,4,0.014985015,rhythem,cluster1
Prevotella.fusca_P25,Prevotella.fusca,0.068931069,0.062490966,P25,0.003430442,5,0.038961039,rhythem,cluster1
Prevotella.histicola_P06,Prevotella.histicola,0.216783217,0.009819123,P06,2.318644244,8,0.009819123,rhythem,cluster1
Prevotella.histicola_P08,Prevotella.histicola,0.034965035,0.015201193,P08,0.791856756,8,0.015201193,rhythem,cluster1
Prevotella.histicola_P16,Prevotella.histicola,0.068931069,0.168899577,P16,0.695020481,8,0.068931069,rhythem,cluster1
Prevotella.histicola_P18,Prevotella.histicola,0.230769231,0.055250054,P18,0.479061763,8,0.055250054,rhythem,cluster1
Prevotella.histicola_P19,Prevotella.histicola,0.508491508,0.104224503,P19,0.025710633,8,0.104224503,rhythem,cluster1
Prevotella.histicola_P21,Prevotella.histicola,0.216783217,0.022443084,P21,2.376939583,8,0.022443084,rhythem,cluster1
Prevotella.histicola_P22,Prevotella.histicola,0.027972028,0.018547285,P22,0.036925288,8,0.018547285,rhythem,cluster1
Prevotella.histicola_P23,Prevotella.histicola,0.508491508,0.081196236,P23,0.140550984,8,0.081196236,rhythem,cluster1
Prevotella.histicola_P24,Prevotella.histicola,0.216783217,0.020818958,P24,0.22061785,8,0.020818958,rhythem,cluster1
Prevotella.histicola_P25,Prevotella.histicola,0.350649351,0.098601567,P25,0.827366404,8,0.098601567,rhythem,cluster1
Prevotella.histicola_P26,Prevotella.histicola,0.027972028,0.039366987,P26,1.318891405,8,0.039366987,rhythem,cluster1
Prevotella.jejuni_P06,Prevotella.jejuni,0.125069836,0.016330116,P06,1.055217856,8,0.016330116,rhythem,cluster1
Prevotella.jejuni_P08,Prevotella.jejuni,0.013986014,0.005301976,P08,0.064017633,8,0.005301976,rhythem,cluster1
Prevotella.jejuni_P16,Prevotella.jejuni,0.030969031,0.076103412,P16,0.259834282,8,0.060939061,rhythem,cluster1
Prevotella.jejuni_P17,Prevotella.jejuni,0.216783217,0.101997673,P17,0.280671248,8,0.101997673,rhythem,cluster1
Prevotella.jejuni_P18,Prevotella.jejuni,0.37962038,0.036173699,P18,0.047285465,6,0.036173699,rhythem,cluster1
Prevotella.jejuni_P19,Prevotella.jejuni,0.350649351,0.114057075,P19,0.005882511,8,0.114057075,rhythem,cluster1
Prevotella.jejuni_P20,Prevotella.jejuni,0.350649351,0.00982455,P20,0.083642681,7,0.00982455,rhythem,cluster1
Prevotella.jejuni_P21,Prevotella.jejuni,0.350649351,0.018037189,P21,0.748469588,8,0.018037189,rhythem,cluster1
Prevotella.jejuni_P22,Prevotella.jejuni,0.027972028,0.010249812,P22,0.058660968,8,0.010249812,rhythem,cluster1
Prevotella.jejuni_P23,Prevotella.jejuni,0.350649351,0.072795086,P23,0.048256348,8,0.072795086,rhythem,cluster1
Prevotella.jejuni_P24,Prevotella.jejuni,0.216783217,0.03559506,P24,0.16826475,8,0.03559506,rhythem,cluster1
Prevotella.jejuni_P25,Prevotella.jejuni,0.137862138,0.125238504,P25,0.501366542,8,0.034965035,rhythem,cluster1
Prevotella.jejuni_P26,Prevotella.jejuni,0.027972028,0.004043278,P26,0.966503245,8,0.004043278,rhythem,cluster1
Prevotella.jejuni_P27,Prevotella.jejuni,0.068931069,0.031819659,P27,0.045019192,5,0.027972028,rhythem,cluster1
Prevotella.multiformis_P17,Prevotella.multiformis,0.008991009,0.014673429,P17,0.01753284,4,0.014673429,rhythem,cluster1
Prevotella.multiformis_P20,Prevotella.multiformis,0.030969031,0.021593669,P20,0.08493612,4,0.021593669,rhythem,cluster1
Prevotella.multiformis_P21,Prevotella.multiformis,0.37962038,0.011381332,P21,0.026284375,6,0.011381332,rhythem,cluster1
Prevotella.multiformis_P22,Prevotella.multiformis,0.068931069,0.146372749,P22,0.001426176,5,0.068931069,rhythem,cluster1
Prevotella.multiformis_P23,Prevotella.multiformis,0.37962038,0.08608227,P23,0.011743179,6,0.08608227,rhythem,cluster1
Prevotella.multiformis_P24,Prevotella.multiformis,0.068931069,0.104369848,P24,0.329121135,6,0.013986014,rhythem,cluster1
Prevotella.multiformis_P25,Prevotella.multiformis,0.137862138,0.10164685,P25,0.006550978,7,0.030969031,rhythem,cluster1
Prevotella.oris_P06,Prevotella.oris,0.508491508,0.106315888,P06,0.836506039,8,0.106315888,rhythem,cluster1
Prevotella.oris_P09,Prevotella.oris,0.156251964,0.121358311,P09,0.002811505,8,0.027972028,rhythem,cluster1
Prevotella.oris_P16,Prevotella.oris,0.030969031,0.190129672,P16,0.039166364,5,0.030969031,rhythem,cluster1
Prevotella.oris_P17,Prevotella.oris,0.137862138,0.048833426,P17,0.051173312,8,0.048833426,rhythem,cluster1
Prevotella.oris_P18,Prevotella.oris,0.068931069,0.023224028,P18,0.004733566,4,0.023224028,rhythem,cluster1
Prevotella.oris_P19,Prevotella.oris,0.125069836,0.122952507,P19,0.003391668,8,0.068931069,rhythem,cluster1
Prevotella.oris_P23,Prevotella.oris,0.027972028,0.010881546,P23,0.232401387,8,0.008991009,rhythem,cluster1
Prevotella.oris_P24,Prevotella.oris,0.216783217,0.04192536,P24,0.373615376,8,0.04192536,rhythem,cluster1
Prevotella.oris_P25,Prevotella.oris,0.350649351,0.06595594,P25,0.035642159,8,0.06595594,rhythem,cluster1
Prevotella.oris_P26,Prevotella.oris,0.125069836,0.049831256,P26,0.063411525,8,0.030969031,rhythem,cluster1
Prevotella.oris_P27,Prevotella.oris,0.137862138,0.044573818,P27,0.010281393,6,0.044573818,rhythem,cluster1
Prevotella.scopos_P06,Prevotella.scopos,0.068931069,0.006725791,P06,0.068498158,6,0.006725791,rhythem,cluster1
Prevotella.scopos_P08,Prevotella.scopos,0.038961039,0.01880971,P08,0.00564058,5,0.01880971,rhythem,cluster1
Prevotella.scopos_P16,Prevotella.scopos,0.030969031,0.153424465,P16,0.010778746,4,0.030969031,rhythem,cluster1
Prevotella.scopos_P18,Prevotella.scopos,0.216783217,0.012789107,P18,0.077064771,7,0.012789107,rhythem,cluster1
Prevotella.scopos_P21,Prevotella.scopos,0.350649351,0.018588689,P21,0.018558741,8,0.018588689,rhythem,cluster1
Prevotella.scopos_P22,Prevotella.scopos,0.125069836,0.049531086,P22,0.001435605,7,0.049531086,rhythem,cluster1
Prevotella.scopos_P23,Prevotella.scopos,0.060939061,0.05002744,P23,0.009638303,7,0.030969031,rhythem,cluster1
Prevotella.scopos_P24,Prevotella.scopos,0.216783217,0.036917109,P24,0.004728594,5,0.036917109,rhythem,cluster1
Prevotella.scopos_P25,Prevotella.scopos,0.216783217,0.065687575,P25,0.006887784,7,0.065687575,rhythem,cluster1
Prevotella.scopos_P26,Prevotella.scopos,0.216783217,0.021167686,P26,0.023867502,5,0.021167686,rhythem,cluster1
