P,TPR,FPR,cutoff
0.2,0.939531285,0.151588882,0.787942403
0.21,0.939531285,0.163640324,0.775890961
0.16,0.905814725,0.13855839,0.767256334
0.18,0.908136193,0.142603194,0.765532998
0.17,0.905814725,0.140601535,0.76521319
0.19,0.908136193,0.146087949,0.762048244
0.22,0.939531285,0.180427297,0.759103987
0.23,0.939531285,0.195044597,0.744486688
0.24,0.939531285,0.206992325,0.732538959
0.25,0.939531285,0.216119062,0.723412222
0.26,0.939531285,0.22369218,0.715839105
0.27,0.939531285,0.230688654,0.708842631
0.28,0.939531285,0.237170711,0.702360573
0.29,0.941852753,0.243127982,0.698724771
0.3,0.941852753,0.25192906,0.689923692
0.32,0.952907362,0.267330429,0.685576933
0.31,0.941852753,0.259305123,0.682547629
0.33,0.952907362,0.289987554,0.662919808
0.14,0.781892549,0.120450114,0.661442435
0.15,0.783440195,0.128052271,0.655387923
0.34,0.954786646,0.30974694,0.645039706
0.35,0.954786646,0.339149554,0.615637092
0.36,0.957660845,0.369788426,0.587872419
0.37,0.968715454,0.3932877,0.575427755
0.38,0.968715454,0.411588882,0.557126572
0.39,0.968715454,0.42131508,0.547400374
0.4,0.971810745,0.431373159,0.540437586
0.41,0.971810745,0.439848579,0.531962166
0.42,0.971810745,0.44706285,0.524747895
0.02,0.536701304,0.012862477,0.523838828
0.43,0.971810745,0.456081726,0.515729019
0.44,0.971810745,0.458946277,0.512864468
0.03,0.536701304,0.02401369,0.512687614
0.45,0.971810745,0.464194151,0.507616594
0.04,0.536701304,0.030566273,0.506135032
0.46,0.971810745,0.466816013,0.504994732
0.01,0.508954234,0.006670815,0.502283419
0.05,0.536701304,0.034438913,0.502262391
0.47,0.971810745,0.470358847,0.501451898
0.13,0.61784214,0.116641776,0.501200365
0.1,0.574065885,0.081366936,0.492698949
0.06,0.536701304,0.045305953,0.491395351
0.48,0.971810745,0.480788218,0.491022527
0.11,0.574065885,0.087040033,0.487025852
0.08,0.554830864,0.073696329,0.481134536
0.12,0.57705063,0.097280647,0.479769983
0.09,0.554830864,0.077537855,0.477293009
0.49,0.971810745,0.494532255,0.47727849
0.07,0.536701304,0.060701099,0.476000205
0.5,0.971810745,0.513876789,0.457933956
0.51,0.971810745,0.54142709,0.430383655
0.52,0.971810745,0.560124456,0.41168629
0.53,0.971810745,0.574258453,0.397552292
0.54,0.971810745,0.584295789,0.387514956
0.55,0.971810745,0.592341838,0.379468907
0.56,0.971810745,0.597421697,0.374389048
0.57,0.971810745,0.603895457,0.367915288
0.58,0.971810745,0.612171749,0.359638996
0.59,0.971810745,0.617079444,0.354731301
0.6,0.971810745,0.620365069,0.351445676
0.61,0.971810745,0.623318814,0.348491932
0.62,0.971810745,0.625617092,0.346193653
0.63,0.971810745,0.628689069,0.343121676
0.64,0.971810745,0.635673097,0.336137648
0.65,0.971810745,0.651246629,0.320564116
0.66,0.971810745,0.669784277,0.302026468
0.67,0.971810745,0.685451151,0.286359594
0.68,0.971810745,0.701269446,0.270541299
0.69,0.971810745,0.712883219,0.258927526
0.7,0.971810745,0.718548019,0.253262726
0.71,0.971810745,0.723688032,0.248122714
0.72,0.971810745,0.728836341,0.242974404
0.73,0.971810745,0.735534122,0.236276624
0.74,0.971810745,0.743333333,0.228477412
0.75,0.971810745,0.748610247,0.223200498
0.77,0.976564227,0.755432483,0.221131744
0.78,0.982533717,0.762028625,0.220505092
0.76,0.971810745,0.751900021,0.219910724
0.79,0.982533717,0.771646961,0.210886755
0.8,0.982533717,0.790477079,0.192056637
0.81,1,0.816226924,0.183773076
0.82,1,0.834345571,0.165654429
0.83,1,0.844353868,0.155646132
0.84,1,0.853024269,0.146975731
0.85,1,0.858427712,0.141572288
0.86,1,0.866255963,0.133744037
0.87,1,0.871563991,0.128436009
0.88,1,0.873936943,0.126063057
0.89,1,0.877429994,0.122570006
0.9,1,0.884440987,0.115559013
0.91,1,0.898769965,0.101230035
0.92,1,0.9197905,0.0802095
0.93,1,0.930304916,0.069695084
0.94,1,0.939589297,0.060410703
0.95,1,0.948450529,0.051549471
0.96,1,0.952829289,0.047170711
0.97,1,0.957886331,0.042113669
0.98,1,0.974131923,0.025868077
0.99,1,0.987722464,0.012277536
1,1,0.997073221,0.002926779
0,0,0,0
