samples,People,Date,Time,Timelag,Date2,Timecompare
P03_210705_17,P03,210705,17:00,0,day1,17
P03_210705_21,P03,210705,21:00,4,day1,21
P03_210706_09,P03,210706,9:00,16,day1,33
P03_210706_13,P03,210706,13:00,20,day1,37
P03_210706_17,P03,210706,17:00,24,day2,41
P03_210706_21,P03,210706,21:00,28,day2,45
P03_210707_09,P03,210707,9:00,40,day2,57
P03_210707_13,P03,210707,13:00,44,day2,61
P05_210705_17,P05,210705,17:00,0,day1,17
P05_210705_21,P05,210705,21:00,4,day1,21
P05_210706_09,P05,210706,9:00,16,day1,33
P05_210706_13,P05,210706,13:00,20,day1,37
P05_210706_17,P05,210706,17:00,24,day2,41
P05_210706_21,P05,210706,21:00,28,day2,45
P05_210707_09,P05,210707,9:00,40,day2,57
P05_210707_13,P05,210707,13:00,44,day2,61
P07_210705_17,P07,210705,17:00,0,day1,17
P07_210705_21,P07,210705,21:00,4,day1,21
P07_210706_09,P07,210706,9:00,16,day1,33
P07_210706_13,P07,210706,13:00,20,day1,37
P07_210706_17,P07,210706,17:00,24,day2,41
P07_210706_21,P07,210706,21:00,28,day2,45
P07_210707_09,P07,210707,9:00,40,day2,57
P07_210707_13,P07,210707,13:00,44,day2,61
P08_210705_17,P08,210705,17:00,0,day1,17
P08_210705_21,P08,210705,21:00,4,day1,21
P08_210706_09,P08,210706,9:00,16,day1,33
P08_210706_13,P08,210706,13:00,20,day1,37
P08_210706_17,P08,210706,17:00,24,day2,41
P08_210706_21,P08,210706,21:00,28,day2,45
P08_210707_09,P08,210707,9:00,40,day2,57
P08_210707_13,P08,210707,13:00,44,day2,61
P09_210705_17,P09,210705,17:00,0,day1,17
P09_210705_21,P09,210705,21:00,4,day1,21
P09_210706_09,P09,210706,9:00,16,day1,33
P09_210706_13,P09,210706,13:00,20,day1,37
P09_210706_17,P09,210706,17:00,24,day2,41
P09_210706_21,P09,210706,21:00,28,day2,45
P09_210707_09,P09,210707,9:00,40,day2,57
P09_210707_13,P09,210707,13:00,44,day2,61
P11_210705_17,P11,210705,17:00,0,day1,17
P11_210705_21,P11,210705,21:00,4,day1,21
P11_210706_09,P11,210706,9:00,16,day1,33
P11_210706_13,P11,210706,13:00,20,day1,37
P11_210706_17,P11,210706,17:00,24,day2,41
P11_210706_21,P11,210706,21:00,28,day2,45
P11_210707_09,P11,210707,9:00,40,day2,57
P11_210707_13,P11,210707,13:00,44,day2,61
P06_day1_09,P06,day1,9:00,0,day1,9
P06_day1_13,P06,day1,13:00,4,day1,13
P06_day1_17,P06,day1,17:00,8,day1,17
P06_day1_21,P06,day1,21:00,12,day1,21
P06_day2_09,P06,day2,9:00,24,day2,33
P06_day2_13,P06,day2,13:00,28,day2,37
P06_day2_17,P06,day2,17:00,32,day2,41
P06_day2_21,P06,day2,21:00,36,day2,45
P13_day1_09,P13,day1,9:00,0,day1,9
P13_day1_13,P13,day1,13:00,4,day1,13
P13_day1_17,P13,day1,17:00,8,day1,17
P13_day1_21,P13,day1,21:00,12,day1,21
P13_day2_09,P13,day2,9:00,24,day2,33
P13_day2_13,P13,day2,13:00,28,day2,37
P13_day2_17,P13,day2,17:00,32,day2,41
P13_day2_21,P13,day2,21:00,36,day2,45
P14_day1_09,P14,day1,9:00,0,day1,9
P14_day1_13,P14,day1,13:00,4,day1,13
P14_day1_17,P14,day1,17:00,8,day1,17
P14_day1_21,P14,day1,21:00,12,day1,21
P14_day2_09,P14,day2,9:00,24,day2,33
P14_day2_13,P14,day2,13:00,28,day2,37
P14_day2_17,P14,day2,17:00,32,day2,41
P14_day2_21,P14,day2,21:00,36,day2,45
P15_day1_09,P15,day1,9:00,0,day1,9
P15_day1_13,P15,day1,13:00,4,day1,13
P15_day1_17,P15,day1,17:00,8,day1,17
P15_day1_21,P15,day1,21:00,12,day1,21
P15_day2_09,P15,day2,9:00,24,day2,33
P15_day2_13,P15,day2,13:00,28,day2,37
P15_day2_17,P15,day2,17:00,32,day2,41
P15_day2_21,P15,day2,21:00,36,day2,45
P16_day1_09,P16,day1,9:00,0,day1,9
P16_day1_13,P16,day1,13:00,4,day1,13
P16_day1_17,P16,day1,17:00,8,day1,17
P16_day1_21,P16,day1,21:00,12,day1,21
P16_day2_09,P16,day2,9:00,24,day2,33
P16_day2_13,P16,day2,13:00,28,day2,37
P16_day2_17,P16,day2,17:00,32,day2,41
P16_day2_21,P16,day2,21:00,36,day2,45
