pathway	species	sum	ownership_new	Superclass1	Superclass2
ANAEROFRUCAT-PWY: homolactic fermentation	Haemophilus_parahaemolyticus	7.1848e-05	cluster2	Generation of Precursor Metabolites and Energy	Fermentation
ANAEROFRUCAT-PWY: homolactic fermentation	Streptococcus_pneumoniae	0.000262784	cluster2	Generation of Precursor Metabolites and Energy	Fermentation
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Streptococcus_oralis	0.004095858	mix	Generation of Precursor Metabolites and Energy	Glycolysis
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Streptococcus_australis	0.000935985	mix	Generation of Precursor Metabolites and Energy	Glycolysis
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Haemophilus_haemolyticus	0.000147821	mix	Generation of Precursor Metabolites and Energy	Glycolysis
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Streptococcus_mitis	0.007660244	cluster2	Generation of Precursor Metabolites and Energy	Glycolysis
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Prevotella_histicola	0.000288842	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Prevotella_veroralis	9.632e-06	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Prevotella_scopos	9.281e-06	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Haemophilus_parahaemolyticus	0.00022177	cluster2	Generation of Precursor Metabolites and Energy	Glycolysis
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Haemophilus_influenzae	0.000127931	mix	Generation of Precursor Metabolites and Energy	Glycolysis
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Streptococcus_parasanguinis	0.00217368	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Streptococcus_agalactiae	0.000322927	cluster2	Generation of Precursor Metabolites and Energy	Glycolysis
