taxa,empP,circa_p,people,day1_9,day1_13,day1_17,day1_21,day2_9,day2_13,day2_17,day2_21,sum,number_exist,p,group1,group2,group3,group4
Actinomyces.sp..Chiba101,0.060939061,0.110369805,P19,0.000117732,9.01E-05,4.07E-05,7.09E-05,0.000574848,0.000191786,4.88E-05,1.74E-05,0.001152266,8,0.110369805,P19,Actinomyces.sp..Chiba101,set2,Actinomyces
Actinomyces.sp..Chiba101,0.350649351,0.092820119,P21,0.001256178,9.29E-05,0,0.000217408,0.001876726,0,0.000902121,0,0.004345333,5,0.092820119,P21,Actinomyces.sp..Chiba101,set2,Actinomyces
Actinomyces.sp..Chiba101,0.216783217,0.052250616,P14,0,0.000419175,0.000471288,0.006102678,0.000950821,0.00078816,2.31E-05,0.002601664,0.011356886,7,0.052250616,P14,Actinomyces.sp..Chiba101,set2,Actinomyces
Actinomyces.sp..Chiba101,0.216783217,0.027388358,P24,0.000704627,0.000103628,5.60E-05,4.17E-05,0.001592273,2.22E-05,2.11E-05,8.63E-05,0.002627828,8,0.027388358,P24,Actinomyces.sp..Chiba101,set2,Actinomyces
Actinomyces.sp..Chiba101,0.034965035,0.022143511,P08,0.001810283,0.000411228,0.00014035,0.001267526,0.000713523,0.00044246,2.41E-05,0.002434178,0.007243648,8,0.022143511,P08,Actinomyces.sp..Chiba101,set1,Actinomyces
Actinomyces.sp..Chiba101,0.060939061,0.003263719,P26,0.004161164,0.000406286,0.000291081,0.001313469,0.004921338,0.001721349,0.000601074,0.003067434,0.016483195,8,0.003263719,P26,Actinomyces.sp..Chiba101,set2,Actinomyces
Actinomyces.sp..oral.taxon.897,0.137862138,0.144666139,P19,0.000294328,0.000305582,9.94E-05,8.16E-05,0.002140969,0.000302589,0.000145794,0.000224185,0.003594447,8,0.137862138,P19,Actinomyces.sp..oral.taxon.897,set2,Actinomyces
Actinomyces.sp..oral.taxon.897,0.216783217,0.062319212,P14,0.001410255,0.000888525,0.005622814,0.012878998,0.00201889,0.001068007,0.000204869,0.005014888,0.029107246,8,0.062319212,P14,Actinomyces.sp..oral.taxon.897,set2,Actinomyces
Actinomyces.sp..oral.taxon.897,0.060939061,0.131477261,P16,0.003192328,6.24E-05,0.00010866,6.88E-06,0.000473491,0.002405265,3.89E-05,0,0.006287924,7,0.060939061,P16,Actinomyces.sp..oral.taxon.897,set2,Actinomyces
Actinomyces.sp..oral.taxon.897,0.216783217,0.058845517,P21,0.004400559,0.000226174,0,0.000290419,0.006373297,0.00023108,0.002572748,0.000482256,0.014576533,7,0.058845517,P21,Actinomyces.sp..oral.taxon.897,set2,Actinomyces
