ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
Haemophilus.parainfluenzae_P03	cosine	24.0	8.0	12.0	0.06673902775	0.13965578050554298	17.0	61.0	0.434779436	0.001002395	0.43377704100000003	433.740627198	4.21067809677	0.4447495899966607	0.06170005454054971	0.9255008181082456	0.5764235764235764	0.5217914340324872	0.7750995798603388
Actinomyces.naeslundii_P03	cosine	24.0	0.0	12.0	0.16663483637499998	0.3306038448066552	17.0	61.0	1.032061486	0.0032774109999999996	1.028784075	314.901453007	6.8412807845	0.4447495899966607	0.06170005454054971	0.9255008181082456	0.5764235764235764	0.5217914340324872	0.7750995798603388
Actinomyces.pacaensis_P03	cosine	24.0	8.0	12.0	0.013115671999999998	0.028398505280098876	17.0	61.0	0.08813023199999999	0.000121319	0.08800891300000001	726.433880925	2.96521105763	0.5929994533288809	0.019977670514007555	0.2996650577101133	0.2777222777222777	0.221383652056101	0.6869100232021077
Actinomyces.sp..oral.taxon.414_P03	cosine	24.0	8.0	12.0	0.02108583275	0.035010205626251636	21.0	61.0	0.104929621	0.000477702	0.104451919	219.654975277	16.1389986583	0.4447495899966607	0.06170005454054971	0.9255008181082456	0.5764235764235764	0.5217914340324872	0.7750995798603388
Schaalia.meyeri_P03	cosine	24.0	20.0	16.0	0.008532192	0.0177984036767741	17.0	61.0	0.055534969000000003	0.00018978700000000002	0.055345182	292.617349977	3.50800072518	0.5455447255899809	0.02939086404115827	0.44086296061737396	0.3276723276723277	0.30435865072424817	0.690071897359657
Schaalia.odontolytica_P03	cosine	24.0	20.0	16.0	0.2475433465	0.540365091576544	17.0	61.0	1.675830005	0.006148923000000001	1.6696810819999999	272.540411548	2.5878384125	0.5455447255899809	0.02939086404115827	0.44086296061737396	0.3276723276723277	0.30435865072424817	0.690071897359657
Rothia.dentocariosa_P03	cosine	24.0	8.0	12.0	0.021755038125000004	0.04447903192067447	17.0	61.0	0.138446801	0.0010139910000000001	0.13743281	136.536518569	9.845818940720001	0.2964997266644405	0.15218547585113507	2.282782137767026	0.8561438561438561	0.8305579046763273	0.922996566870429
Rothia.mucilaginosa_P03	cosine	24.0	20.0	16.0	0.37298972325	0.8262096442452583	17.0	61.0	2.556282982	0.008389245	2.547893737	304.709539655	4.12804016704	0.4728054288446501	0.05072691085342965	0.7609036628014447	0.4565434565434565	0.4565434565434565	0.7597615417164288
Gemella.morbillorum_P03	cosine	24.0	0.0	12.0	0.008153705875	0.01473793915341255	17.0	61.0	0.046747816	0.000407021	0.046340795	114.853572666	7.64067170895	0.5929994533288809	0.019977670514007555	0.2996650577101133	0.2777222777222777	0.221383652056101	0.6869100232021077
Streptococcus.cristatus_P03	cosine	24.0	0.0	12.0	0.01013266075	0.018848651098413268	17.0	61.0	0.059400455	0.00064235	0.058758105	92.4736592201	6.62699786941	0.3706246583305506	0.09959172053278437	1.4938758079917656	0.7392607392607392	0.6894550438714687	0.8703386865601811
Streptococcus.gordonii_P03	cosine	24.0	0.0	12.0	0.0028746902500000004	0.0055546380517349815	17.0	61.0	0.017438218000000002	9.41e-05	0.017344118000000002	185.315812965	9.24173161912	0.5188745216627708	0.0361333719258868	0.542000578888302	0.4195804195804196	0.35746779588015354	0.690071897359657
Streptococcus.mitis_P03	cosine	24.0	0.0	16.0	0.135408915	0.21640300568786008	17.0	41.0	0.650729113	0.0051894770000000005	0.645539636	125.393968024	28.780585930300003	0.5188745216627708	0.0361333719258868	0.542000578888302	0.4195804195804196	0.35746779588015354	0.690071897359657
Streptococcus.oralis_P03	cosine	24.0	0.0	12.0	0.08695191262499999	0.1815045385376664	17.0	61.0	0.565054293	0.002784154	0.562270139	202.95367749099998	7.61163356515	0.4447495899966607	0.06170005454054971	0.9255008181082456	0.5764235764235764	0.5217914340324872	0.7750995798603388
Streptococcus.salivarius_P03	cosine	24.0	20.0	16.0	0.3095111085	0.6889169396239644	17.0	41.0	2.124329174	0.007500724	2.11682845	283.216550029	15.880555073399998	0.4728054288446501	0.05072691085342965	0.7609036628014447	0.4565434565434565	0.4565434565434565	0.7597615417164288
Veillonella.nakazawae_P03	cosine	24.0	8.0	12.0	0.011430612875000001	0.023323220384923262	17.0	61.0	0.07290785400000001	0.00023344299999999998	0.072674411	312.31544317	4.42185906366	0.5188745216627708	0.0361333719258868	0.542000578888302	0.4195804195804196	0.35746779588015354	0.690071897359657
Veillonella.atypica_P03	cosine	24.0	8.0	12.0	0.026145869375	0.051906982224439714	17.0	61.0	0.162497175	0.000161998	0.162335177	1003.0813652	12.2900435207	0.5188745216627708	0.0361333719258868	0.542000578888302	0.4195804195804196	0.35746779588015354	0.690071897359657
Veillonella.parvula_P03	cosine	24.0	8.0	12.0	0.018153101375	0.03432616661773651	17.0	61.0	0.108336896	0.0006707000000000001	0.10766619599999999	161.52809900100002	4.68928935891	0.5188745216627708	0.0361333719258868	0.542000578888302	0.4195804195804196	0.35746779588015354	0.690071897359657
