phenotype,variable,value
1,X1,0.545204222
1,X2,0.545204222
1,X3,0.545204222
1,X4,0.545204222
1,X5,0.545204222
2,X1,0.506654429
2,X2,0.506654429
2,X3,0.506654429
2,X4,0.506654429
2,X5,0.506654429
3,X1,0.487379532
3,X2,0.484625975
3,X3,0.484167049
3,X4,0.485084901
3,X5,0.483708123
4,X1,0.446535108
4,X2,0.448370812
4,X3,0.44515833
4,X4,0.443322625
4,X5,0.446076182
5,X1,0.409821019
5,X2,0.406608536
5,X3,0.407067462
5,X4,0.412574575
5,X5,0.411197797
6,X1,0.370353373
6,X2,0.372648004
6,X3,0.370812299
6,X4,0.360256999
6,X5,0.369894447
7,X1,0.334557136
7,X2,0.340523176
7,X3,0.331344654
7,X4,0.335016062
7,X5,0.339605324
8,X1,0.312987609
8,X2,0.314823313
8,X3,0.310234052
8,X4,0.309775126
8,X5,0.318035796
9,X1,0.294171638
9,X2,0.304726939
9,X3,0.304268013
9,X4,0.294171638
9,X5,0.300137678
10,X1,0.274437816
10,X2,0.283157412
10,X3,0.285452042
10,X4,0.285452042
10,X5,0.268471776
11,X1,0.264341441
11,X2,0.269848554
11,X3,0.278568151
11,X4,0.273519963
11,X5,0.258375402
12,X1,0.237723726
12,X2,0.253327214
12,X3,0.258834328
12,X4,0.25975218
12,X5,0.252868288
13,X1,0.23497017
13,X2,0.249655805
13,X3,0.239100505
13,X4,0.229921983
13,X5,0.233134465
14,X1,0.217989904
14,X2,0.230380909
14,X3,0.21844883
14,X4,0.214777421
14,X5,0.221661313
15,X1,0.198715007
15,X2,0.207893529
15,X3,0.210647086
15,X4,0.203304268
15,X5,0.203763194
16,X1,0.19366682
16,X2,0.191372189
16,X3,0.192290041
16,X4,0.191372189
16,X5,0.190454337
17,X1,0.189536485
17,X2,0.183111519
17,X3,0.188618632
17,X4,0.183570445
17,X5,0.184029371
18,X1,0.179899036
18,X2,0.178063332
18,X3,0.183111519
18,X4,0.17944011
18,X5,0.178522258
19,X1,0.173015145
19,X2,0.176227627
19,X3,0.18540615
19,X4,0.180357962
19,X5,0.174850849
20,X1,0.167966957
20,X2,0.175768701
20,X3,0.17714548
20,X4,0.173474071
20,X5,0.174391923
21,X1,0.168425883
21,X2,0.173015145
21,X3,0.172097292
21,X4,0.172556218
21,X5,0.169343736
22,X1,0.162459844
22,X2,0.161083066
22,X3,0.167049105
22,X4,0.162000918
22,X5,0.167049105
23,X1,0.160165213
23,X2,0.157870583
23,X3,0.165672327
23,X4,0.157870583
23,X5,0.161541992
24,X1,0.161541992
24,X2,0.156034878
24,X3,0.16291877
24,X4,0.153740248
24,X5,0.158788435
25,X1,0.159706287
25,X2,0.152822396
25,X3,0.160165213
25,X4,0.150527765
25,X5,0.151445617
26,X1,0.147774208
26,X2,0.14639743
26,X3,0.149150987
26,X4,0.145020652
26,X5,0.148233134
27,X1,0.145938504
27,X2,0.147774208
27,X3,0.152822396
27,X4,0.150068839
27,X5,0.145938504
28,X1,0.144102799
28,X2,0.143643873
28,X3,0.146856356
