,P03_210705_17,P03_210705_21,P03_210706_09,P03_210706_13,P03_210706_17,P03_210706_21,P03_210707_09,P03_210707_13,P05_210705_17,P05_210705_21,P05_210706_09,P05_210706_13,P05_210706_17,P05_210706_21,P05_210707_09,P05_210707_13,P07_210705_17,P07_210705_21,P07_210706_09,P07_210706_13,P07_210706_17,P07_210706_21,P07_210707_09,P07_210707_13,P08_210705_17,P08_210705_21,P08_210706_09,P08_210706_13,P08_210706_17,P08_210706_21,P08_210707_09,P08_210707_13,P09_210705_17,P09_210705_21,P09_210706_09,P09_210706_13,P09_210706_17,P09_210706_21,P09_210707_09,P09_210707_13,P11_210705_17,P11_210705_21,P11_210706_09,P11_210706_13,P11_210706_17,P11_210706_21,P11_210707_09,P11_210707_13,P06_day1_09,P06_day1_13,P06_day1_17,P06_day1_21,P06_day2_09,P06_day2_13,P06_day2_17,P06_day2_21,P13_day1_09,P13_day1_13,P13_day1_17,P13_day1_21,P13_day2_09,P13_day2_13,P13_day2_17,P13_day2_21,P14_day1_09,P14_day1_13,P14_day1_17,P14_day1_21,P14_day2_09,P14_day2_13,P14_day2_17,P14_day2_21,P15_day1_09,P15_day1_13,P15_day1_17,P15_day1_21,P15_day2_09,P15_day2_13,P15_day2_17,P15_day2_21,P16_day1_09,P16_day1_13,P16_day1_17,P16_day1_21,P16_day2_09,P16_day2_13,P16_day2_17,P16_day2_21,P17_day1_09,P17_day1_13,P17_day1_17,P17_day1_21,P17_day2_09,P17_day2_13,P17_day2_17,P17_day2_21,P18_day1_09,P18_day1_13,P18_day1_17,P18_day1_21,P18_day2_09,P18_day2_13,P18_day2_17,P18_day2_21,P19_day1_09,P19_day1_13,P19_day1_17,P19_day1_21,P19_day2_09,P19_day2_13,P19_day2_17,P19_day2_21,P20_day1_09,P20_day1_13,P20_day1_17,P20_day1_21,P20_day2_09,P20_day2_13,P20_day2_17,P20_day2_21,P21_day1_09,P21_day1_13,P21_day1_17,P21_day1_21,P21_day2_09,P21_day2_13,P21_day2_17,P21_day2_21,P22_day1_09,P22_day1_13,P22_day1_17,P22_day1_21,P22_day2_09,P22_day2_13,P22_day2_17,P22_day2_21,P23_day1_09,P23_day1_13,P23_day1_17,P23_day1_21,P23_day2_09,P23_day2_13,P23_day2_17,P23_day2_21,P24_day1_09,P24_day1_13,P24_day1_17,P24_day1_21,P24_day2_09,P24_day2_13,P24_day2_17,P24_day2_21,P25_day1_09,P25_day1_13,P25_day1_17,P25_day1_21,P25_day2_09,P25_day2_13,P25_day2_17,P25_day2_21,P26_day1_09,P26_day1_13,P26_day1_17,P26_day1_21,P26_day2_09,P26_day2_13,P26_day2_17,P26_day2_21,P27_day1_09,P27_day1_13,P27_day1_17,P27_day1_21,P27_day2_09,P27_day2_13,P27_day2_17,P27_day2_21
uncultured.bacterium,0.014411172,0.001492574,0.00122426,0.000317683,0.000126742,0.000719545,0.000666954,7.76E-05,0.001306989,0.000148542,0.000101984,0.001482674,8.97E-05,0.000223781,0.000382935,1.18E-05,0.000413582,0.004801721,0.001765646,0.000262119,0.005259687,0.000438578,0.000437797,0.00014638,0.000336933,0.002810595,0.005296707,0.002433866,5.88E-05,0.00657515,0.004385106,0.001271297,7.38E-05,0.001039232,0.000244401,2.15E-05,0.000563873,0.000493089,0.000826654,0.000843253,0.000419156,0.002997022,0.006036996,0.000355508,0.008260885,0.001202367,0.000246731,0.000260206,0.023073859,0.003053277,0.015300759,0.01144466,0.027285124,0.001827369,0.012346806,0.000483097,0.000405891,0.001094724,0.000219607,0.02962381,0.001253626,0.000574231,0.000707299,0.014449561,0.001595755,0.001433667,0.002828928,0.036188049,0.002055413,0.003632569,9.81E-05,0.021369531,0.001548109,0.001224927,0.002748342,0.014911528,0.005894655,0.000915376,0.001438721,0.000561901,0.014400982,0.000371065,0.001462792,8.76E-05,0.004008622,0.005610448,0.000402666,0.001482977,0.04288053,0.0061243,0.022196523,0.011834818,0.022601984,0.014866939,0.002098591,0.011159595,0.003723361,0.001400271,0.000842623,0.000576615,0.006994467,0.000362848,0.000628308,0.002136333,0.000457391,0.000102342,5.79E-05,0.00014904,0.001691926,0.000594894,0.000146265,4.40E-05,0.017482753,0.002518107,0.001986463,0.002818626,0.030746653,0.001530625,0.002878443,0.008384489,0.023428516,0.000970182,0.006478455,0.001314182,0.032550867,0.001736048,0.011491437,0.006355161,0.001326668,0.000983971,0.000922488,0.002747584,0.002074129,0.000827453,0.00068675,0.000638045,0.036964898,0.019560714,0.009172516,0.039850515,0.030326179,0.006139497,0.027845683,0.036886509,0.003382783,0.000433999,0.000176624,0.000226699,0.011651564,9.46E-05,0.000135544,0.000395252,0.00563827,0.000357136,0.004302743,0.005643042,0.008948569,0.003881186,0.006979639,0.000570322,0.01593196,0.002853309,0.00057648,0.001936022,0.031701245,0.00371846,0.001277033,0.023873966,0.038764122,0.000123057,0.009016682,0.000414384,0.016067644,0.007123467,0.002227391,0.001095397
Haemophilus.parainfluenzae,0.434779436,0.010096612,0.042513583,0.011003116,0.001845442,0.010814154,0.021857484,0.001002395,0.004947382,0.000125948,0.001473945,0.000368174,0.000432177,0.0003045,0.00623118,6.67E-05,0.015097213,0.094252886,0.022822641,0.004912495,0.161115064,0.020187313,0.008537114,0.002877538,0.011530929,0.060951386,0.515117485,0.053286361,0.001491578,0.094371708,0.17404883,0.029188835,0.000687966,0.037011097,0.017875529,0.000403104,0.030859757,0.012059265,0.036757458,0.032226907,0.016305851,0.097683265,0.199422473,0.007024871,0.371761678,0.037381925,0.003419091,0.004523319,0.285019504,0.001067205,0.058753688,0.01551532,0.210027706,0.000597887,0.084754505,0.002383477,0.014318029,0.070936002,0.008117641,1.517276982,0.026202003,0.033260374,0.026115024,1.817292184,0.034683434,0.059741478,0.059492089,1.099819889,0.055460878,0.081463809,0.000728736,0.554793074,0.013127874,0.014759303,0.06500677,1.295800175,0.190775601,0.00174347,0.011397073,0.009417269,0.122625057,0.027138649,0.109372421,0.003230541,0.151874647,0.280990453,0.037609331,0.087571738,0.722094327,0.040166893,0.535665503,0.282971659,0.374647737,0.137682297,0.104292541,0.251498695,0.134302904,0.011025199,0.015341634,0.010060541,0.072101267,0.009492976,0.017189763,0.047901822,0.02079096,0.002254623,0.001008806,0.001272195,0.090043022,0.005192855,0.002931588,0.000201764,0.47554643,0.092926681,0.060703007,0.068375077,0.922039561,0.039650481,0.143407164,0.227877314,0.317333835,0.010902997,0.295567112,0.059413714,0.37526011,0.007736887,0.176665078,0.137913351,0.040043829,0.040933692,0.040609122,0.083774295,0.027742904,0.011160192,0.014555059,0.030589599,0.215504343,0.005674262,0.033540577,0.020306315,0.041375074,0.004813612,0.007776814,0.019705004,0.038246856,0.00813254,0.003241281,0.00096898,0.145034243,0.000473752,0.006537042,0.009764426,0.09782847,0.001916527,0.048429701,0.037286342,0.193636586,0.024288961,0.062816777,0.005681401,1.022120709,0.038399993,0.02473194,0.068950991,1.722499271,0.070626406,0.027522581,0.570999723,1.600781198,0.001378513,0.3668897,0.003537654,0.338344064,0.144523245,0.082103606,0.048545386
Actinomyces.naeslundii,1.032061486,0.16681881,0.035306437,0.024384149,0.024953306,0.021757213,0.024519879,0.003277411,0.015051853,0.005495658,0.00102711,0.002446412,0.001454411,0.010773113,0.015476955,8.52E-05,0.00137166,0.033573932,0.002461384,0.003747696,0.006462376,0.006594336,0.001053597,0.000341192,0.014906276,0.052188937,0.093178501,0.036160917,0.003918461,0.157757762,0.041182053,0.017699096,0.000773883,0.026929673,0.00209129,0.000449769,0.014271848,0.006622062,0.001455267,0.035994871,0.003401241,0.057394126,0.064549138,0.018142056,0.07517742,0.018982658,0.002444873,0.005996743,0.067350219,0.003523208,0.018265305,0.021372052,0.212580343,0.002480176,0.049103381,0.000473368,0.022516573,0.098210337,0.002669938,0.240876524,0.013046343,0.022382696,0.009902575,0.188931939,0.017444962,0.01568245,0.037478168,0.169107345,0.064436006,0.047759446,0.002171123,0.18218955,0.022078161,0.032749964,0.023463331,0.05394823,0.103388355,0.004141011,0.007649451,0.006214989,0.01018001,0.008455333,0.011170555,0.000838924,0.016849299,0.073516257,0.001677936,0.005550469,0.099049608,0.022034224,0.04206471,0.043791282,0.024892831,0.022388199,0.002698426,0.132097346,0.009654659,0.003949734,0.014364065,0.009051774,0.013529945,0.014660414,0.005387008,0.01689942,0.028900385,0.009853311,0.004624371,0.001703596,0.081327715,0.021952727,0.008757806,0.0024647,0.267991098,0.047151941,0.044630197,0.113148334,0.539715314,0.014094104,0.032871299,0.176061253,0.107610367,0.012228446,0.009286535,0.006738675,0.075864731,0.002213487,0.017923302,0.018944859,0.003040269,0.010957201,0.005482735,0.023030227,0.005872346,0.004248844,0.003193553,0.011988265,0.120087046,0.08755094,0.054906873,0.098193964,0.124732738,0.024817216,0.06621574,0.038461531,0.217712043,0.011753935,0.020172605,0.012097144,0.196777717,0.00920898,0.003872259,0.006687767,0.034434426,0.003758834,0.061571655,0.035609115,0.142394971,0.024387932,0.103084393,0.02289008,0.153342251,0.063409652,0.040862424,0.087576037,0.210063378,0.061567914,0.065499566,0.386851126,0.139208644,0.001234222,0.054062872,0.006388955,0.151092507,0.053518477,0.01030655,0.01709603
Actinomyces.pacaensis,0.088130232,0.00202015,0.004783434,0.001613185,0.000348953,0.003781287,0.004126816,0.000121319,0.011370736,0.000231626,0.001219287,0.001919893,0.000185172,0.000564567,0.002039936,1.71E-05,0.000186718,0.001897282,0.001186299,0.000814077,0.014875231,0.000804922,0.000864954,0.000214842,0.001238983,0.008762449,0.047458883,0.006464178,0.000231073,0.039422259,0.034778479,0.005548038,0.000777642,0.013264002,0.002372532,7.13E-05,0.00351589,0.00502116,0.009099037,0.005735117,0.00463311,0.02223324,0.044729405,0.003307499,0.063894218,0.007278903,0.001992028,0.001394006,0.273143681,0.002081899,0.008527791,0.017942996,0.215088867,0.000449975,0.023434566,0.003278743,0.00018899,0.002499763,0.000530273,0.07607938,0.000308926,0.001180232,0.00136494,0.04768354,0.001910596,0.004920159,0.003535857,0.052031186,0.001922783,0.007693695,0.000220821,0.048936232,0.010220364,0.001848257,0.006667561,0.009676144,0.019327195,0.000108832,0.002415661,0.000391969,0.063428934,0.00061934,0.000550532,0.000113921,0.008888516,0.011963201,0.000869729,0.000615227,0.061670769,0.001410966,0.028715762,0.008974885,0.043081399,0.010042718,0.004916319,0.010514683,0.007032531,0.001088432,0.001059861,0.001726533,0.021547898,0.000746322,0.001096294,0.001974452,0.003109765,0.000538701,0.000440756,0.000714611,0.008218505,0.001200843,0.00158934,0.000174879,0.061643583,0.003824476,0.004728698,0.002058031,0.063508271,0.003983339,0.005640409,0.015307229,0.118435837,0.001419601,0.00315778,0.008015218,0.188899887,0.003214745,0.03827378,0.00502016,0.004955275,0.002635781,0.0025439,0.006586409,0.004678095,0.001443221,0.001152574,0.001483972,0.058032909,0.004506245,0.007012469,0.001928019,0.019353223,0.003082307,0.00129726,0.002553179,0.018671139,0.003169418,0.001674135,0.001820214,0.067724929,0.000282784,0.000113464,0.002337522,0.043826086,0.001051506,0.027037799,0.021549512,0.059681851,0.026360338,0.031422773,0.000485602,0.036944671,0.004659574,0.001265649,0.001911368,0.046894052,0.004676947,0.001997666,0.055499698,0.026332316,3.93E-05,0.009342691,9.92E-05,0.010630975,0.008049199,0.00198069,0.001611756
Actinomyces.sp..oral.taxon.414,0.048008179,0.104929621,0.003489739,0.002974669,0.00302693,0.002398229,0.003381593,0.000477702,0.000419737,0.000132758,0.000131315,0.000184287,5.25E-05,0.000375223,0.000753576,1.72E-06,0.000118318,0.003702533,0.000441505,0.00185767,0.003504916,0.003131943,0.000339997,9.43E-05,0.000567116,0.014548971,0.009594365,0.003463003,0.000130895,0.015386874,0.00684714,0.002058618,0.000954765,0.004086425,0.000406402,0.00044784,0.006513972,0.001798765,0.001134702,0.009127503,0.000473054,0.003305071,0.012691941,0.003505851,0.016166308,0.002901497,0.002472518,0.001308329,0.02167285,0.004741365,0.005720054,0.032045072,0.043957222,0.001391747,0.00433825,0.000162302,0.000473096,0.003856935,0.000252039,0.019297945,0.001303195,0.000751812,0.000587529,0.01564231,0.00503063,0.003231,0.025454316,0.072162087,0.011214424,0.00870492,0.001626921,0.018652371,0.006190664,0.0040249,0.002688455,0.014755668,0.013381256,0.007139824,0.010077821,0.001296944,0.003811096,0.000379026,0.000358081,2.68E-05,0.001485912,0.004151929,8.15E-05,0.000193238,0.052702905,0.018668341,0.012960892,0.017980185,0.01305472,0.018654073,0.000877279,0.025363572,0.000528328,0.001045696,0.005746942,0.000127488,0.000778231,0.00030144,0.000154114,0.00062991,0.00159198,0.001336253,0.000648962,0.00047941,0.018897141,0.003045684,0.000946065,0.000352478,0.066201421,0.035214041,0.001617086,0.01228474,0.026795947,0.003010129,0.001013764,0.007757109,0.038430632,0.009988678,0.004304031,0.004526304,0.051312557,0.003047735,0.028942195,0.011876793,0.001131422,0.001964758,0.000542159,0.001948794,0.001058964,0.00154046,0.000509517,0.001410308,0.021140367,0.009326126,0.003771015,0.006088394,0.012589356,0.005512525,0.002853267,0.002437126,0.125385885,0.000595786,0.000366593,0.000963784,0.435493824,0.001470525,0.000291462,0.001431563,0.00855548,0.001569507,0.023368783,0.009189555,0.018589235,0.006401982,0.019796426,0.002311083,0.037593493,0.002412266,0.001401765,0.002733408,0.034157053,0.028196041,0.007611951,0.355054735,0.01043502,0.000160574,0.003030354,0.000551975,0.008596231,0.002965822,0.000496351,0.000468185
Schaalia.meyeri,0.055534969,0.002938235,0.002295734,0.001031469,0.000648381,0.003618394,0.002000567,0.000189787,0.011615077,0.000448671,0.001185051,0.004240388,0.000274405,0.00049292,0.00233869,2.83E-05,0.000512121,0.006750291,0.002524616,0.002103874,0.033776388,0.001757564,0.001635638,0.000597622,0.000717681,0.007494923,0.033918817,0.005139985,0.000282048,0.035871217,0.019831715,0.002666045,0.000515664,0.0067297,0.000698643,6.47E-05,0.00200185,0.002626489,0.002859912,0.003342091,0.001787219,0.008922159,0.029157338,0.003104649,0.029679123,0.004185458,0.000930092,0.001491884,0.128701833,0.001820679,0.00965538,0.018064362,0.133696591,0.001330582,0.020345365,0.002010226,0.000414069,0.004498398,0.000779748,0.071790945,0.000387705,0.000797808,0.000662409,0.027117885,0.008155769,0.019189935,0.016486576,0.151924767,0.006439178,0.035623389,0.000918223,0.079207961,0.008235387,0.007140886,0.009384385,0.012701373,0.019392451,0.00112011,0.003265504,0.001144244,0.112334694,0.000302493,0.000502355,5.96E-05,0.002450854,0.009541474,0.000240272,0.000821049,0.153048742,0.00210954,0.026620285,0.011459011,0.050212756,0.007242944,0.00300972,0.020112567,0.004339172,0.000639034,0.000799832,0.001671479,0.014623302,0.000259333,0.000505619,0.003464934,0.00231402,0.003179166,0.000540812,0.001166236,0.018678733,0.001939705,0.001820412,0.000665256,0.051036069,0.003906664,0.006719245,0.002535594,0.039879216,0.002874183,0.004282073,0.014453484,0.145721134,0.008292898,0.272005556,0.020448682,0.227407034,0.010197806,0.074619182,0.049700093,0.005320174,0.00468654,0.003270673,0.011553379,0.003725451,0.001880931,0.001210159,0.001784163,0.041463436,0.00694683,0.003963325,0.00221682,0.015572607,0.002318299,0.001776682,0.002202117,0.037584524,0.00174627,0.000654484,0.000397722,0.222298874,0.000939664,7.77E-05,0.003321538,0.013788861,0.000927476,0.013308205,0.012479995,0.015672202,0.010514446,0.020651385,0.000812747,0.023605466,0.002609048,0.000850512,0.001589163,0.028509674,0.002773328,0.001460642,0.040759802,0.030919963,0.000109727,0.024098444,0.000563232,0.022341059,0.017251489,0.004799456,0.003244091
Schaalia.odontolytica,1.675830005,0.065447452,0.062899717,0.02821852,0.012035911,0.07302497,0.056741274,0.006148923,0.220460387,0.007015771,0.02457449,0.076741347,0.005202385,0.010733129,0.049157554,0.000480042,0.008359229,0.114665468,0.048002771,0.032696247,0.63798135,0.032285076,0.027726976,0.010455952,0.017345322,0.183019482,0.774488885,0.115532772,0.005367015,0.680069731,0.503092204,0.066369246,0.012085405,0.216424112,0.026605852,0.001599618,0.052834318,0.087617618,0.099341876,0.101553644,0.089039037,0.372909017,1.058931824,0.092605544,1.214509139,0.205306381,0.038170655,0.039998245,3.291901313,0.033928615,0.194294885,0.391802111,3.627296086,0.020624041,0.455359221,0.049218798,0.009834555,0.111025321,0.021449311,1.99161674,0.01907282,0.033851439,0.020711867,1.023806446,0.122447725,0.343414749,0.287467963,2.938815655,0.115511834,0.607731625,0.014283448,1.792757445,0.24660375,0.111077003,0.255759591,0.930368187,0.706025183,0.007777192,0.08133431,0.026740842,2.14962345,0.014532214,0.036766682,0.001907802,0.129144583,0.276624483,0.011945104,0.020028447,4.374505565,0.066097137,1.110136123,0.306467197,1.554153314,0.195907527,0.145822114,0.490415182,0.138557702,0.012138338,0.019985927,0.034849799,0.287318545,0.008306598,0.013492546,0.046439016,0.040615285,0.045310342,0.008537053,0.024499445,0.271395826,0.029275016,0.030763983,0.008535832,1.850841743,0.170594932,0.178679438,0.088494533,1.786239603,0.095720161,0.194688526,0.583171204,1.890134112,0.028571121,0.057252524,0.130090136,3.383468284,0.051135671,0.912394081,0.097855103,0.158144443,0.121865946,0.083540919,0.295660026,0.123370834,0.051721565,0.034129553,0.060906886,1.228563502,0.082042501,0.156559844,0.07504929,0.386402499,0.056665846,0.056195723,0.054407181,0.459018952,0.120541234,0.062718229,0.00898098,1.24942483,0.006375701,0.003031112,0.109243882,0.591546571,0.025799884,0.528596767,0.428674521,0.642210463,0.365469544,0.548665848,0.015582433,0.716595919,0.062155546,0.032507279,0.045358972,0.937169882,0.080846872,0.041150519,1.03455386,0.929893098,0.001612035,0.41445207,0.007908439,0.422943811,0.285137453,0.080174857,0.051957391
Rothia.dentocariosa,0.138446801,0.019767303,0.005025624,0.004275471,0.001344159,0.002007685,0.002159271,0.001013991,0.03355748,0.019455973,0.001194885,0.003291517,0.001069599,0.01321593,0.010313655,0.000326608,0.001066743,0.024431989,0.000896626,4.72E-05,0.003128044,0.003895947,0.000198771,6.05E-05,0.010475203,0.097048274,0.074104986,0.043233743,0.001533968,0.119005617,0.016545507,0.019834191,0.000744038,0.010638355,0.000693283,0.000177325,0.004833158,0.003765666,0.001236504,0.008526361,0.002358325,0.125073139,0.035718239,0.000343141,0.026197863,0.00862433,0.001334398,0.000267417,0.242341438,0.000946439,0.014427052,0.05299227,1.063309686,0.005236206,0.084417189,0.001139353,0.018072391,0.08639239,0.000368599,0.251224372,0.006446272,0.022239493,0.000533105,0.204605766,0.018451314,0.011692805,0.072389637,0.039643562,0.035501984,0.022158409,0.002166695,0.071795034,0.014136482,0.028536461,0.092468118,0.150454112,0.083131164,0.009698458,0.012233362,0.029560372,0.013348686,0.002849617,0.008698886,0.000286532,0.014434373,0.032434694,0.000509766,0.001780804,0.032222817,0.011848225,0.066589544,0.01726728,0.0170065,0.006679685,0.001883847,0.04813167,0.010261704,0.006268823,0.017102585,0.020545366,0.007454831,0.006630739,0.004815527,0.005240596,0.041869726,0.008636479,0.002640059,0.001291399,0.089822869,0.045418141,0.006115136,0.000785482,0.20877641,0.105914647,0.037535449,0.122164433,0.230031875,0.013450347,0.017715526,0.224639085,0.01329765,0.008055216,0.003538863,0.006045889,0.015270249,0.001278446,0.008758797,0.011779207,0.001784686,0.010554534,0.003719161,0.011141345,0.003392715,0.003703988,0.004219085,0.008318584,0.026535732,0.014690364,0.048975818,0.051957215,0.06102119,0.015219689,0.057089164,0.055528085,0.053437161,0.009916575,0.021451347,0.005438142,0.053967071,0.003689303,0.004243475,0.015123827,0.018056543,0.0027766,0.070182077,0.042697331,0.035211633,0.015030873,0.068845613,0.012635267,0.036423567,0.017564813,0.007352578,0.023436242,0.066540452,0.043894813,0.020075188,0.034010593,0.023697424,0.001055932,0.045680707,0.001421172,0.010301757,0.007838066,0.005020188,0.008003121
Rothia.mucilaginosa,2.556282982,0.103264559,0.07264993,0.066974447,0.011048192,0.13307225,0.032236181,0.008389245,0.16213714,0.029195977,0.009897331,0.050181928,0.004196305,0.041256265,0.014564492,0.000861832,0.007616948,0.125837498,0.01494569,0.005349465,0.072618081,0.012555988,0.002551948,0.002123888,0.088079238,2.139801442,2.302524463,0.570605297,0.009986038,2.968522316,0.402249022,0.345672442,0.009223214,0.17391082,0.012279421,0.002671206,0.082938119,0.0649369,0.036860929,0.153820691,0.159277704,0.72173243,0.945762943,0.060575801,2.173446418,0.238695153,0.018330542,0.029995554,0.765524564,0.024503634,0.215263396,0.151841249,1.345544581,0.012173713,0.706035914,0.02394151,0.19577336,0.42671073,0.152830152,3.601607228,0.202504767,0.38464115,0.415880154,5.010660563,0.055365288,0.259482759,0.264673397,0.987578323,0.100990682,0.080643201,0.003384428,0.448386161,0.045660953,0.194375645,0.34762257,1.185103311,0.344428165,0.052520158,0.233248959,0.068363269,0.322374536,0.021041147,0.060600792,0.011045055,0.084354273,0.331538028,0.017769668,0.044770373,2.849932688,1.164122,5.481917933,6.776517127,1.58266141,1.154140448,0.490360053,1.299669172,0.210856443,0.195144223,0.169166135,0.319680293,0.283542495,0.093615743,0.062691424,0.112041281,0.081376023,0.012197703,0.014058854,0.020000367,0.201996036,0.056509806,0.033344671,0.009552778,2.639283361,0.817817941,0.353074789,0.520129338,3.592050636,0.528480581,0.793999924,3.317448933,0.462803628,0.053772859,0.137177416,0.127895289,1.115691034,0.056655316,0.232549519,0.045024188,0.106365333,0.262144131,0.143351104,0.617352736,0.136215818,0.216366516,0.107061018,0.171774939,0.609945913,0.32098163,0.477054318,0.206996603,0.379063683,0.292838829,0.106560028,0.138573063,0.180355344,0.160949547,0.057344685,0.044916833,0.646294782,0.025117139,0.021089191,0.12606386,0.416411969,0.084328618,1.436285711,0.561982247,1.030547229,0.425240585,1.221734577,0.191733552,1.536623141,0.693821669,0.151898894,0.497224474,5.409150369,0.801915657,0.21259892,9.818131425,5.061420084,0.066602301,1.106716706,0.040539796,0.52311735,0.134590118,0.316901527,0.128767442
Gemella.morbillorum,0.046747816,0.006494655,0.005294892,0.000584853,0.000850011,0.003114406,0.001735993,0.000407021,0.019086331,0.003053366,5.26E-05,0.000220106,0.001186233,0.000953714,0.000279445,3.11E-05,0.002978072,0.01818922,0.002315895,0.000643933,0.015523187,0.003948683,0.000679994,0.000485367,0.005569754,0.014383648,0.005929603,0.017778277,0.000953438,0.076788344,0.004759993,0.006758883,3.31E-05,0.002659777,0.000261121,4.69E-05,0.001329069,0.000917996,0.000625136,0.002100184,6.87E-05,0.001644833,0.001378274,3.67E-05,0.001105085,0.001534142,0.000114035,3.76E-05,0.021677898,0.016198359,0.038263085,0.079458085,0.018971131,0.003147964,0.013288597,0.001279093,0.005596786,0.000581552,0.000731031,0.017175665,0.011067537,0.002013367,0.005706852,0.012915271,0.004153049,0.001810142,0.003923763,0.031179084,0.005070615,0.004146296,0.000145464,0.027843302,0.002987077,0.009634546,0.006683323,0.042641954,0.011269535,0.017979402,0.020613186,0.003785824,0.005119564,0.003293767,0.013820091,0.0004835,0.004627109,0.018466881,0.007052819,0.05096767,0.110139407,0.019858411,0.17990042,0.117718113,0.061727295,0.074540085,0.007132546,0.077004362,0.00267692,0.011978079,0.004134111,0.000607452,0.011683021,0.000251161,0.000121344,0.051505992,0.001301891,0.000244745,0.0006473,0.001717277,0.005099654,0.003381179,0.000437225,0.000201671,0.014945033,0.000966259,0.000796628,0.00192111,0.014270843,0.000338541,0.001004598,0.004404609,0.507110828,0.049508616,1.078568303,0.1013634,0.304207424,0.023736622,0.667367464,0.33787931,0.004452473,0.008841145,0.014698653,0.104321375,0.007682618,0.001595207,0.012091499,0.008884073,1.441681134,0.645579085,0.416116055,1.370527947,1.544188821,0.235108622,0.913609155,0.780767627,0.001211225,0.001200032,0.000197041,2.87E-05,0.00548079,3.82E-05,0.002564686,0.000917442,0.005361636,0.008126052,0.003104427,0.011150055,0.018423048,0.001112947,0.013347772,0.003734481,0.156519953,0.077515152,0.002402808,0.046962703,0.084432705,0.051325448,0.028347333,0.240684985,0.022355226,3.99E-05,0.010174117,0.000194329,0.016776371,0.006891104,0.001244126,0.001109896
