name	Superclass1	Superclass2
KETOGLUCONMET-PWY: ketogluconate metabolism	Degradation/Utilization/Assimilation	Carboxylate Degradation
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	Biosynthesis	Cell Structure Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	Biosynthesis	Fatty Acid and Lipid Biosynthesis
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
LACTOSECAT-PWY: lactose and galactose degradation I	Degradation/Utilization/Assimilation	Carbohydrate Degradation
PWY-6969: TCA cycle V (2-oxoglutarate synthase)	Generation of Precursor Metabolites and Energy	TCA cycle
UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II	Biosynthesis	Carbohydrate Biosynthesis
COLANSYN-PWY: colanic acid building blocks biosynthesis	Biosynthesis	Carbohydrate Biosynthesis
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	Biosynthesis	Amino Acid Biosynthesis
PWY-7977: L-methionine biosynthesis IV	Biosynthesis	Amino Acid Biosynthesis
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	Biosynthesis	Cell Structure Biosynthesis
SO4ASSIM-PWY: assimilatory sulfate reduction I	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism
DARABCATK12-PWY: D-arabinose degradation I	Degradation/Utilization/Assimilation	Carbohydrate Degradation
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol"	Degradation/Utilization/Assimilation	Alcohol Degradation
PWY0-1319: CDP-diacylglycerol biosynthesis II	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Biosynthesis	Fatty Acid and Lipid Biosynthesis
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	Biosynthesis	Amino Acid Biosynthesis
PWY-7345: superpathway of anaerobic sucrose degradation	Degradation/Utilization/Assimilation	Carbohydrate Degradation
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	Superpathways	Superpathways
PWY-5981: CDP-diacylglycerol biosynthesis III	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-7238: sucrose biosynthesis II	Biosynthesis	Carbohydrate Biosynthesis
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	Superpathways	Superpathways
ANAEROFRUCAT-PWY: homolactic fermentation	Generation of Precursor Metabolites and Energy	Fermentation
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	Biosynthesis	Amino Acid Biosynthesis
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	Biosynthesis	Carbohydrate Biosynthesis
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	Biosynthesis	Amino Acid Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Biosynthesis	Carbohydrate Biosynthesis
PWY-6317: D-galactose degradation I (Leloir pathway)	Degradation/Utilization/Assimilation	Carbohydrate Degradation
PWY-7663: gondoate biosynthesis (anaerobic)	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	Degradation/Utilization/Assimilation	Carbohydrate Degradation
PWY-7221: guanosine ribonucleotides de novo biosynthesis	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	Biosynthesis	Aromatic Compound Biosynthesis
PWY-2942: L-lysine biosynthesis III	Biosynthesis	Amino Acid Biosynthesis
VALSYN-PWY: L-valine biosynthesis	Biosynthesis	Amino Acid Biosynthesis
PWY-6703: preQ0 biosynthesis	Biosynthesis	Secondary Metabolite Biosynthesis
PWY-6151: S-adenosyl-L-methionine salvage I	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
PWY-6628: superpathway of L-phenylalanine biosynthesis	Biosynthesis	Amino Acid Biosynthesis
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-621: sucrose degradation III (sucrose invertase)	Degradation/Utilization/Assimilation	Carbohydrate Degradation
PWY-7199: pyrimidine deoxyribonucleosides salvage	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-6700: queuosine biosynthesis I (de novo)	Macromolecule Modification	Nucleic Acid Processing
PWY-1042: glycolysis IV	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-7858: (5Z)-dodecenoate biosynthesis II	Biosynthesis	Fatty Acid and Lipid Biosynthesis
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	Biosynthesis	Amino Acid Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	Biosynthesis	Amino Acid Biosynthesis
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
PWY-6897: thiamine diphosphate salvage II	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
PWY-6612: superpathway of tetrahydrofolate biosynthesis	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-5103: L-isoleucine biosynthesis III	Biosynthesis	Amino Acid Biosynthesis
PWY-7356: thiamine diphosphate salvage IV (yeast)	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
P124-PWY: Bifidobacterium shunt	Degradation/Utilization/Assimilation	Carbohydrate Degradation
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
PWY-5484: glycolysis II (from fructose 6-phosphate)	Generation of Precursor Metabolites and Energy	Glycolysis
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type"	Generation of Precursor Metabolites and Energy	Photosynthesis
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Biosynthesis	Amino Acid Biosynthesis
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
PWY-7208: superpathway of pyrimidine nucleobases salvage	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-6630: superpathway of L-tyrosine biosynthesis	Biosynthesis	Amino Acid Biosynthesis
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	Biosynthesis	Cell Structure Biosynthesis
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	Degradation/Utilization/Assimilation	Carbohydrate Degradation
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Biosynthesis	Amino Acid Biosynthesis
PWY-7791: UMP biosynthesis III	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
P23-PWY: reductive TCA cycle I	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation
PWY-3001: superpathway of L-isoleucine biosynthesis I	Biosynthesis	Amino Acid Biosynthesis
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type"	Generation of Precursor Metabolites and Energy	Photosynthesis
PWY-5367: petroselinate biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	Biosynthesis	Amino Acid Biosynthesis
