OP_absence,OP_exist,OP_rhythem,S_absence,S_exist,S_rhythem,pattern_diff,pattern_same
Actinomyces.sp..Chiba101_P06,Actinomyces.sp..Chiba101_P03,Actinomyces.sp..Chiba101_P08,Actinomyces.sp..Chiba101_P18,Actinomyces.sp..Chiba101_P03,Actinomyces.sp..ZJ34_P03,Haemophilus.influenzae_P23,Gemella.haemolysans_P25
Actinomyces.sp..Chiba101_P07,Actinomyces.sp..Chiba101_P05,Actinomyces.sp..Chiba101_P14,Actinomyces.sp..ZJ34_P18,Actinomyces.sp..Chiba101_P05,Actinomyces.sp..ZJ34_P05,Streptococcus.oralis_P20,Haemophilus.influenzae_P06
Actinomyces.sp..Chiba101_P13,Actinomyces.sp..Chiba101_P08,Actinomyces.sp..Chiba101_P19,Actinomyces.weissii_P05,Actinomyces.sp..Chiba101_P06,Actinomyces.sp..ZJ34_P07,Streptococcus.oralis_P23,Haemophilus.influenzae_P19
Actinomyces.sp..Chiba101_P15,Actinomyces.sp..Chiba101_P09,Actinomyces.sp..Chiba101_P21,Actinomyces.weissii_P07,Actinomyces.sp..Chiba101_P07,Actinomyces.sp..ZJ34_P08,Streptococcus.sp..1643_P20,Haemophilus.influenzae_P20
Actinomyces.sp..Chiba101_P16,Actinomyces.sp..Chiba101_P11,Actinomyces.sp..Chiba101_P24,Actinomyces.weissii_P09,Actinomyces.sp..Chiba101_P08,Actinomyces.sp..ZJ34_P09,Streptococcus.sp..1643_P23,Haemophilus.influenzae_P26
Actinomyces.sp..Chiba101_P17,Actinomyces.sp..Chiba101_P14,Actinomyces.sp..Chiba101_P26,Actinomyces.weissii_P14,Actinomyces.sp..Chiba101_P09,Actinomyces.sp..ZJ34_P11,Streptococcus.sp..NPS.308_P20,Prevotella.denticola_P06
Actinomyces.sp..Chiba101_P18,Actinomyces.sp..Chiba101_P19,Actinomyces.sp..oral.taxon.897_P06,Actinomyces.weissii_P17,Actinomyces.sp..Chiba101_P11,Actinomyces.sp..ZJ34_P13,Streptococcus.sp..NPS.308_P23,Prevotella.denticola_P15
Actinomyces.sp..Chiba101_P20,Actinomyces.sp..Chiba101_P21,Actinomyces.sp..oral.taxon.897_P08,Actinomyces.weissii_P18,Actinomyces.sp..Chiba101_P13,Actinomyces.sp..ZJ34_P15,Streptococcus.sp..oral.taxon.064_P20,Prevotella.denticola_P19
Actinomyces.sp..Chiba101_P23,Actinomyces.sp..Chiba101_P22,Actinomyces.sp..oral.taxon.897_P13,Actinomyces.weissii_P20,Actinomyces.sp..Chiba101_P14,Actinomyces.sp..ZJ34_P16,Streptococcus.sp..VT.162_P06,Prevotella.denticola_P26
Actinomyces.sp..Chiba101_P27,Actinomyces.sp..Chiba101_P24,Actinomyces.sp..oral.taxon.897_P14,Actinomyces.weissii_P23,Actinomyces.sp..Chiba101_P15,Actinomyces.sp..ZJ34_P17,Streptococcus.sp..VT.162_P20,Prevotella.jejuni_P08
