,anrhythmicity,anrhythmicity.pval,cluster1,cluster1.pval,cluster2,cluster2.pval,mix,mix.pval,MeanDecreaseAccuracy,MeanDecreaseAccuracy.pval,MeanDecreaseGini,MeanDecreaseGini.pval,anrhythmicity.BH,cluster1.BH,cluster2.BH,mix.BH,MeanDecreaseAccuracy.BH
Raffinose,21.2588126983614,0.0099009900990099,39.3312192510518,0.0099009900990099,7.89048317852304,0.108910891089109,51.3674505792817,0.0099009900990099,55.7350858414034,0.0099009900990099,75.6981065441653,0.0099009900990099,0.0179288199090179,0.0276402640264026,0.260608203677511,0.020730198019802,0.0138201320132013
ONPG..beta.galactosidase.,33.2398299030539,0.0099009900990099,13.1465473714756,0.0297029702970297,20.0371410936074,0.0099009900990099,47.5777000730908,0.0099009900990099,55.2300602118755,0.0099009900990099,49.3903587061107,0.0099009900990099,0.0179288199090179,0.0585323238206174,0.0349140177175612,0.020730198019802,0.0138201320132013
Esculin.hydrolysis,22.3303389755439,0.0099009900990099,8.70998345537093,0.0594059405940594,-6.73177072171772,0.900990099009901,56.7015091889337,0.0099009900990099,53.2823945237645,0.0099009900990099,57.8137985747481,0.0099009900990099,0.0179288199090179,0.107572919454108,1,0.020730198019802,0.0138201320132013
Alkaline.phosphatase,30.1002436763465,0.0099009900990099,19.8603448671148,0.0099009900990099,44.0925484863282,0.0099009900990099,13.6957591007393,0.0099009900990099,45.7996616789496,0.0099009900990099,61.1943369749218,0.0099009900990099,0.0179288199090179,0.0276402640264026,0.0349140177175612,0.020730198019802,0.0138201320132013
Arginine.dihydrolase,32.0904777125493,0.0099009900990099,8.9945840187278,0.0297029702970297,25.9903661525167,0.0099009900990099,28.0447974144435,0.0099009900990099,43.9920336386641,0.0099009900990099,51.3350978302558,0.0099009900990099,0.0179288199090179,0.0585323238206174,0.0349140177175612,0.020730198019802,0.0138201320132013
Trehalose,28.9218578911699,0.0099009900990099,23.1018874101325,0.0099009900990099,-22.6298263611808,1,37.4351937406948,0.0099009900990099,43.5141126248617,0.0099009900990099,34.871363096083,0.0099009900990099,0.0179288199090179,0.0276402640264026,1,0.020730198019802,0.0138201320132013
Facultative,29.1548204546035,0.0099009900990099,26.8848631638402,0.0099009900990099,40.2768991718237,0.0099009900990099,19.2503652761297,0.0099009900990099,37.2326565023096,0.0099009900990099,103.900252183029,0.0099009900990099,0.0179288199090179,0.0276402640264026,0.0349140177175612,0.020730198019802,0.0138201320132013
Coagulase.production,28.2122742401703,0.0099009900990099,18.8264365519928,0.0099009900990099,1.13116863448157,0.435643564356436,34.2450444225464,0.0099009900990099,36.3824089615171,0.0099009900990099,49.0746117737238,0.0099009900990099,0.0179288199090179,0.0276402640264026,0.561309977151561,0.020730198019802,0.0138201320132013
D.Mannose,25.3651179778927,0.0099009900990099,16.7855210973336,0.0099009900990099,15.293080197272,0.0099009900990099,26.1285971622496,0.0099009900990099,36.1996328753631,0.0099009900990099,32.6312625349887,0.0099009900990099,0.0179288199090179,0.0276402640264026,0.0349140177175612,0.020730198019802,0.0138201320132013
Growth.on.ordinary.blood.agar,31.8529216082908,0.0099009900990099,17.6424592876196,0.0099009900990099,5.10907680380404,0.128712871287129,31.0775188194189,0.0099009900990099,35.5151934494146,0.0099009900990099,54.3131607645672,0.0099009900990099,0.0179288199090179,0.0276402640264026,0.287458745874587,0.020730198019802,0.0138201320132013
Sucrose,22.193934293263,0.0099009900990099,45.2804407445219,0.0099009900990099,15.0853481611525,0.0099009900990099,18.8391919435627,0.0099009900990099,34.4766366262906,0.0099009900990099,41.9060014825716,0.0099009900990099,0.0179288199090179,0.0276402640264026,0.0349140177175612,0.020730198019802,0.0138201320132013
Salicin,23.5998654763058,0.0099009900990099,16.8635615474559,0.0198019801980198,-0.527385676554629,0.554455445544555,27.5656320231609,0.0099009900990099,33.4044035299473,0.0099009900990099,33.1680839684518,0.0099009900990099,0.0179288199090179,0.0491382471580491,0.675427542754276,0.020730198019802,0.0138201320132013
Urea.hydrolysis,18.8054569265734,0.0099009900990099,14.5362271000259,0.0099009900990099,22.4109318191671,0.0099009900990099,21.8887698998088,0.0099009900990099,32.8370937907317,0.0099009900990099,27.1750602722698,0.0099009900990099,0.0179288199090179,0.0276402640264026,0.0349140177175612,0.020730198019802,0.0138201320132013
Starch.hydrolysis,10.7261739499321,0.0396039603960396,10.6923378476444,0.099009900990099,1.7894884294939,0.346534653465347,32.4064135306989,0.0099009900990099,32.1219820629709,0.0099009900990099,31.2892847902444,0.0099009900990099,0.0617084964310385,0.154271241077596,0.493996208131451,0.020730198019802,0.0138201320132013
Growth.at.4no.C,12.486221390521,0.0297029702970297,20.6230471957005,0.0099009900990099,21.1661029578994,0.0099009900990099,6.27569539316453,0.138613861386139,31.6157777944033,0.0099009900990099,24.5129096849589,1,0.0485390002414876,0.0276402640264026,0.0349140177175612,0.201894102453724,0.0138201320132013
Coccus,37.4530637576102,0.0099009900990099,12.7831280580431,0.0099009900990099,17.955874390473,0.0099009900990099,30.5161036758441,0.0099009900990099,31.2099770674209,0.0099009900990099,70.9981914315003,0.0099009900990099,0.0179288199090179,0.0276402640264026,0.0349140177175612,0.020730198019802,0.0138201320132013
Glucose.fermenter,28.5336621271292,0.0099009900990099,11.1992148462463,0.0297029702970297,3.89017705603244,0.168316831683168,10.9013931297529,0.0198019801980198,28.4898052910378,0.0099009900990099,20.3229309928407,0.97029702970297,0.0179288199090179,0.0585323238206174,0.331683168316832,0.0390215492137449,0.0138201320132013
Gram.positive,24.6551386874741,0.0099009900990099,14.5431989685355,0.0099009900990099,3.0415764504782,0.227722772277228,28.3501927534458,0.0099009900990099,27.8540220931465,0.0099009900990099,38.8336502949989,0.0099009900990099,0.0179288199090179,0.0276402640264026,0.381435643564356,0.020730198019802,0.0138201320132013
